"Jahr"	"Stark verkehrsexponiert"	"Stadt Basel"	"Agglomeration"	"Ländlich"	"Grenzwert"	"DateTime"
1991		52.8	37.3	26.8	30	" "
1992	65.9	49.9	32.2	22	30	" "
1993	59	47.2	31.7	25.1	30	" "
1994	51.9	42.7	26.1	18.5	30	" "
1995	51.3	40.2	28.3	18.6	30	" "
1996	50.3	43.1	30	19.7	30	" "
1997	50.9	41.2	29	19.2	30	" "
1998	49.6	36	26	17.9	30	" "
1999	51.6	36	25.5	18.6	30	" "
2000	51.4	33.8	22.9	15	30	" "
2001	51.1	33	22	15.3	30	" "
2002	50.9	32.7	22.3	13.7	30	" "
2003	57.1	34.8	24	16	30	" "
2004	51.2	33.3	21.9	13.9	30	" "
2005	54.1	32.7	21.1	13.1	30	" "
2006	56.1	33.8	21.6	13.3	30	" "
2007	52.7	31.5	19.1	12.5	30	" "
2008	53.4	32.4	20.3	13.2	30	" "
2009	53.2	32.7	19.9	13	30	" "
2010	54.7	32.4	20.9	13.9	30	" "
2011	51.2	33.2	19.6	11.9	30	" "
2012	50.4	31.8	18.6	11	30	" "
2013	49.8	31	19.2	12.3	30	" "
2014	48.4	31.9	18.3	7.8	30	" "
2015	49.1	31.5	18.3	10.8	30	" "
2016	44.5	27.8	16.7		30	" "
2017	44.1	27.7	16.6		30	" "
