"jahr"	"Mittelwert"	"90% aller Messstellen (5 - 95% Quantil)"	"[Platzhalter: Wert2 = 5%; Wert3 = 95%]"
1994	13.80	11.73	16.77
1995	13.92	12.02	16.14
1996	13.69	12.03	16.26
1997	13.63	11.75	15.99
1998	13.61	11.63	16.18
1999	13.72	11.73	16.36
2000	13.80	11.86	16.31
2001	13.86	11.85	16.11
2002	13.86	11.94	16.12
2003	14.02	12.18	16.18
2004	14.16	12.26	16.22
2005	14.07	12.02	16.40
2006	13.93	11.95	16.49
2007	14.02	12.08	16.37
2008	13.98	12.02	16.34
2009	13.96	12.12	16.42
2010	14.29	12.05	16.70
2011	14.30	12.03	16.57
2012	14.54	12.54	16.72
2013	14.47	12.26	16.51
2014	14.59	12.50	17.48
2015	14.73	12.67	17.52
2016	14.72	12.68	16.98
2017	14.83	12.88	17.33
