Alter	 Tarif Alleinstehend mit Kind u.a.	 Tarif Alleinstehend	 Tarif Verheiratet	 Bevölkerung
0				1923
1				1925
2				1778
3				1862
4				1735
5				1798
6				1609
7				1589
8				1543
9				1489
10				1517
11				1488
12				1437
13				1434
14				1403
15				1528
16				1536
17	0	1424	3	1609
18	6	1537	2	1562
19	9	1456	9	1735
20	9	1588	12	1814
21	18	1600	26	2118
22	14	1675	56	2345
23	32	1731	79	2581
24	45	1713	122	2835
25	62	1757	145	3059
26	74	1775	168	3268
27	56	1707	196	3420
28	101	1746	274	3296
29	111	1568	322	3555
30	139	1525	368	3376
31	144	1509	415	3465
32	191	1374	464	3435
33	180	1325	527	3446
34	193	1222	571	3403
35	184	1066	578	3275
36	199	1056	595	3017
37	203	1054	588	2981
38	235	984	602	2955
39	235	868	631	2878
40	236	937	599	2722
41	202	861	550	2745
42	199	860	576	2590
43	213	915	556	2525
44	225	939	632	2604
45	224	998	635	2653
46	243	1018	616	2805
47	193	1053	648	2808
48	216	1172	700	2802
49	198	1142	692	3000
50	189	1223	698	2981
51	175	1147	693	3070
52	161	1102	696	2904
53	127	1117	635	2844
54	108	1142	724	2720
55	93	1087	618	2848
56	70	1073	652	2563
57	41	1085	635	2485
58	40	1052	645	2478
59	36	949	604	2440
60	20	974	597	2247
61	16	907	565	2214
62	18	966	544	2142
63	16	894	492	2126
64	10	906	535	1955
65	11	889	555	2023
66	3	872	544	1964
67	4	874	470	1933
68	2	848	490	1863
69	2	818	498	1831
70	1	772	496	1786
71		838	489	1728
72	1	816	464	1758
73	2	710	440	1720
74	1	711	423	1614
75	1	725	373	1509
76		656	383	1473
77		719	390	1373
78		685	326	1466
79	1	728	355	1325
80		686	323	1399
81		643	285	1272
82	1	700	273	1154
83		665	246	1227
84		662	256	1142
85		627	202	1110
86		598	180	1000
87		557	131	931
88		513	121	810
89		430	73	711
90		417	70	579
91		333	58	537
92		278	37	438
93		252	22	343
94		172	19	291
95		105	14	202
96		63	4	125
97		59	4	73
98		43	1	65
99		34	4	46
100				39
101				
102				
103				
104				
105				
106				
107				
108				
109				
110				
111				
112				
113				
114				
115				
				
