Jahr	 Übriges	 Finanzertrag	 Transferertrag	 Entgelte	 Gewinn- und Kapitalsteuern (JP)	 Einkommens- und Vermögenssteuern (NP)	 Anteil NP (rechte Skala)	 Anteil JP (rechte Skala)
2006	570500000	237800000		998700000	712700000	1460100000	36.7	17.9
2007	1643200000	271900000		1050000000	781600000	1513400000	28.8	14.9
2008	787300000	358400000		1108300000	935200000	1556900000	32.8	19.7
2009	750500000	290400000		1100900000	700600000	1511000000	34.7	16.1
2010	731600000	236000000		1451800000	770800000	1751400000	35.4	15.6
2011	788500000	265200000		1153300000	733400000	1689400000	36.5	15.8
2012	384904266	301400000	500000000	387700000	638246802	1577548932	41.6	16.8
2013	377611900	384900000	530500000	419000000	677819399	1474568701	38.2	17.5
2014	408900000	395200000	561100000	502200000	696700000	1553200000	37.7	16.9
2015	372200000	452100000	599400000	401100000	734700000	1755300000	40.7	17
