wohnviertel_id	Anteil Personen in Einpersonenhaushalten	Rang	wohnviertel	jahr_num
30	0.126394052	1	Bettingen	2016
7	0.1561637788	2	Bruderholz	2016
20	0.1656778837	3	Riehen	2016
19	0.1869393613	4	Kleinhüningen	2016
15	0.1926121372	5	Hirzbrunnen	2016
16	0.2099798543	6	Rosental	2016
8	0.2165757417	7	Bachletten	2016
18	0.2207061471	8	Klybeck	2016
11	0.2319218603	9	St. Johann	2016
5	0.2442383361	10	St. Alban	2016
17	0.2448914227	11	Matthäus	2016
14	0.2606643674	12	Wettstein	2016
10	0.2700090607	13	Iselin	2016
13	0.2705667276	14	Clara	2016
6	0.2741177106	15	Gundeldingen	2016
3	0.2812912395	16	Am Ring	2016
4	0.2817591432	17	Breite	2016
9	0.2907906426	18	Gotthelf	2016
1	0.3013100437	19	Altstadt Grossbasel	2016
2	0.3250573753	20	Vorstädte	2016
12	0.3301846286	21	Altstadt Kleinbasel	2016
