cities	Männer	Frauen	time
Basel	82.3944128509996	74.2627562392304	2021-12-31
Bern	87.3891831117781	78.848538777745	2021-12-31
Genf	77.9501191932584	69.9112998489401	2021-12-31
Lausanne	79.5992056395122	72.6367073426388	2021-12-31
Zürich	86.8603221388328	77.8435986842916	2021-12-31
Frankfurt a. M.	83.5	73.3	2018-01-01
Freiburg i. Br.	81.8	76.8	2018-01-01
Karlsruhe	83.7	76.8	2018-01-01
München	86.7	77.9	2018-01-01
Stuttgart	87	77.3	2018-01-01
Lille	71.8	65.1	2020-01-01
Lyon	76.8	69.8	2020-01-01
Metz	73.9	67.8	2020-01-01
Paris	76.8	70.5	2020-01-01
Strassburg	74.5	68.3	2020-01-01
Mailand	76.3	62.1	2018-01-01
Bologna	80.3	68.9	2018-01-01
Lissabon	71.5	67.7	2011-01-01
Porto	68.2	59.1	2011-01-01
Barcelona	73.3	66.3	2018-01-01
Madrid	75.3	65.1	2018-01-01
