	 Schweiz	 Deutschland	 Italien	 Türkei	 EU-17 & EFTA	 EU-Ost	 Balkan	 Mittel- & Südamerika	 Arabische Länder	 Afrikanische Länder	 Übrige Länder
1997	30.40	10.37	28.10	34.68	17.80	16.54	38.32	19.81	16.69	22.50	16.38
1998	29.95	10.25	27.65	33.74	17.58	16.50	38.65	18.50	17.41	22.91	17.94
1999	29.64	9.48	26.67	33.96	16.98	15.06	39.06	16.74	21.74	23.63	17.07
2000	28.74	10.25	25.95	33.80	16.36	15.60	38.90	15.15	19.36	28.21	16.75
2001	27.92	10.17	25.44	33.44	15.25	13.64	38.52	15.81	21.36	22.73	17.33
2002	27.93	9.86	24.54	34.41	14.67	15.24	39.09	15.25	19.61	24.06	17.14
2003	27.02	9.69	23.42	33.94	13.54	14.98	38.35	15.33	21.72	24.68	17.33
2004	26.06	9.23	22.46	33.47	13.61	14.29	38.84	15.79	23.49	25.73	17.79
2005	25.21	9.26	21.40	33.82	13.65	14.44	38.39	16.37	24.28	26.75	16.93
2006	24.52	9.12	20.97	33.49	13.53	14.23	37.67	15.52	26.41	28.57	18.52
2007	23.08	9.08	20.07	33.84	13.00	14.08	37.47	16.13	28.07	27.62	17.52
2008	22.19	8.86	18.87	33.51	13.52	14.58	36.38	14.88	28.10	27.22	19.79
2009	21.68	8.29	17.54	32.98	13.44	15.55	36.81	15.10	27.93	27.78	20.56
2010	20.94	8.06	16.76	32.95	13.53	13.91	36.63	15.69	27.66	27.76	21.09
2011	20.73	8.35	15.89	32.57	13.76	12.99	36.01	14.16	29.49	27.26	21.53
2012	20.10	7.81	14.96	32.07	13.58	13.51	34.99	14.29	31.36	27.85	21.06
2013	19.56	7.97	14.90	32.02	13.83	13.74	34.11	13.56	28.76	28.56	20.60
2014	18.73	7.80	14.64	31.41	13.46	15.09	32.89	12.86	26.81	27.34	19.32
2015	18.70	7.74	14.65	30.77	13.46	14.59	32.69	13.86	28.70	25.99	19.02
2016	17.9	7.6	13.5	30.4	13.6	15.5	31.8	13.5	26.7	25.6	17.7
