Staatsangehörigkeit	 Evangelisch-reformiert	 Römisch-katholisch	 Christkatholisch	 Israelitisch	 Andere	 Keine Zugehörigkeit	 Unbekannt
Schweiz	20.9	15.5	0.4	0.5	11.6	46.2	4.8
Deutschland	12.0	15.6	0.3	0.3	10.9	59.2	1.7
Italien	0.4	21.1	0.8	0.1	5.5	67.0	5.2
Türkei	0.1	0.0	0.0	0.0	90.9	7.0	1.9
EU-17 + EFTA	1.3	9.6	0.4	0.3	8.6	75.3	4.6
EU-Ost	1.9	15.2	1.1	0.2	18.3	60.1	3.1
Balkan	0.1	5.8	0.1	0.0	76.4	11.9	5.8
Mittel- und Südamerika	2.2	19.6	0.6	0.0	8.0	65.1	4.4
Arabische Länder	0.1	0.4	0.1	0.1	84.0	7.8	7.5
Afrikanische Länder	3.6	11.2	0.4	0.0	56.2	21.3	7.3
Übrige Länder	1.0	4.2	0.1	0.8	51.4	40.2	2.3
