Jahr	Siedlungsabfälle (Hauskehricht und Sperrgut)	Wertstoffsammlungen	Recyclingquote (rechte Skala)	Abfall Haushalte t	Recycling total t	Bevölkerung
2000	193.57068604326	132.274269552048	40.5942357801389	36683	25066.9	189507
2001	190.185160587626	130.154876072577	40.6302245044184	35795.7	24497.1	188215
2002	192.342026398011	125.816170375566	39.5451607569631	36198	23678.1	188196
2003	183.709533709534	124.785205142348	40.4497028399118	34638.8	23528.5	188552
2004	184.120426280218	126.99527532363	40.8193076302322	34761.2	23976.2	188796
2005	180.234228027874	131.734718210964	42.2268689878223	34011.1	24859	188705
2006	178.794954388907	131.930949209567	42.4589477998753	33692.3	24861.2	188441
2007	177.196652719665	131.678100375932	42.6315518041636	33371.8	24799.2	188332
2008	171.672836894436	141.696636344404	45.2171154005188	32459.9	26792	189080
2009	186.133982232198	134.970789062418	42.0332555378261	35492.4	25736.5	190682
2010	176.790868265033	133.058255967824	42.9429182016434	33934.3	25540	191946
2011	164.780355303007	128.846253915722	43.8809868964368	31666.5	24760.9	192174
2012	168.526179367548	136.055469155003	44.669621369171	32508.7	26245.1	192900
2013	163.476406976446	128.518147491716	44.0138850280269	31821.5	25016.7	194655
2014	165.134175820813	127.147782095611	43.5017552920485	32380.5	24931.9	196086
2015	158.029491637268	124.238978706124	44.0144726596569	31132.6	24475.7	197005
2016	150.719460808585	122.642229924315	44.8644539750627	29831.3	24274.086	197926
