Jahr	Gewaltstraftaten pro 100 000 Einwohner	Gewaltstraftaten	mittlere Bevölkerung
1995	260.075411827908	518	199173
1996	319.158069093682	632	198021
1997	313.310064703121	614	195972
1998	305.627258647393	592	193700
1999	357.584066137414	686	191843
2000	347.216725503543	658	189507
2001	318.25306165821	599	188215
2002	390.018916448809	734	188196
2003	383.978955407527	724	188552
2004	406.788279412699	768	188796
2005	348.692403486924	658	188705
2006	306.196634490371	577	188441
2007	267.612514070896	504	188332
2008	309.921726253438	586	189080
2009	374.445411732623	714	190682
2010	408.969189251144	785	191946
2011	464.162685899237	892	192174
2012	462.415759460861	892	192900
2013	411.497264390845	801	194655
2014	349.846495925257	686	196086
2015	334.509276414304	659	197005
2016	357.709446965027	708	197926
