Jahr	15-24-Jährige	50-Jährige und Ältere	Total	
1993	6	3.5	5.5	 	 
1994	6.2	4	5.7	 	 
1995	5	3.4	4.9	 	 
1996	4.8	3	4.7	 	 
1997	5.4	3.2	4.9	 	 
1998	3.6	2.6	3.7	 	 
1999	2.4	1.7	2.5	 	 
2000	2.5	1.5	2.1	 	 
2001	2.7	1.5	2.2	 	 
2002	4.1	2	3	 	 
2003	6.3	2.7	4.3	 	 
2004	6.9	3.1	4.6	 	 
2005	6.1	3	4.1	 	 
2006	5.3	2.9	3.7	 	 
2007	4.1	2.7	3.2	 	 
2008	3.6	2.6	3	 	 
2009	4.8	3	3.8	 	 
2010	6.2	3.1	4.2	 	 
2011	5.1	2.8	3.7	 	 
2012	4.5	2.8	3.7	 	 
2013	4.6	2.9	3.7	 	 
2014	4.4	2.8	3.4	 	 
2015	4.5	2.9	3.7	 	 
2016	4.5	3.1	3.9	 	 
