Jahr	Einbürgerungsziffer männlich	Einbürgerungsziffer weiblich	Ausländeranteil (rechte Skala)	Einbürgerungsziffer Total
2006	13.7070244468812	16.4671744649982	0.311919571	15.1
2007	29.2892392488624	32.8016743648961	0.313393617	31
2008	24.0112994350282	29.1183702142606	0.318270063	26.7
2009	14.6332540698738	18.3495608361136	0.325844404	16.6
2010	10.3710462287105	12.4553962162526	0.328020587	11.2
2011	7.24916412699352	10.185094505925	0.333696037	8.7
2012	9.20110997517161	10.8334398568324	0.338712595	10.1
2013	11.841881070029	14.0392108355495	0.345607007	13.1
2014	10.5942863532174	11.2104226632328	0.350072021	11
2015	12.369540007731	15.3735503011777	0.352868096	13.8
2016	7.33149818756643	7.88463229475042	0.357	7.6
