daten_jahr Wohnort	Akutsomatik	Geriatrie	Psychiatrie	Rehabilitation
2008 BS	27758	3629	2299	1409
2008 Nicht-BS	27123	182	1333	1107
.
2009 BS	27980	3645	2462	1329
2009 Nicht-BS	27676	224	1360	1154
..
2010 BS	28454	3991	2084	1334
2010 Nicht-BS	28396	307	1580	1159
...
2011 BS	28711	4327	2852	1268
2011 Nicht-BS	29034	447	835	1179
....
2012 BS	28563	4383	2800	1702
2012 Nicht-BS	30140	542	894	1249
.....
2013 BS	29061	4266	2826	1873
2013 Nicht-BS	31990	688	920	1218
......
2014 BS	29410	4202	2644	1970
2014 Nicht-BS	33549	814	923	1356
.......
2015 BS	29401	4009	2689	2050
2015 Nicht-BS	34347	857	1012	1456
.........
2016 BS	29866	3891	2760	2068
2016 Nicht-BS	36999	927	1023	1532
