Branche	Schweiz	Basel-Stadt	Genf	Zürich	Rank
Life Sciences	3.63887984369913	4.27046263345197	3.63717010423596	0.982620811028823	1
Herst. von chem. Erzeugn.	0.102997219075074	-8.45070422535211	2.93353539727215	-4.63070891173043	2
Baugewerbe	0.686219214138006	0.999159585395448	0.349525004481088	0.841461082424932	3
Handel und Garagengewerbe	1.10245865780032	0.859829825347069	1.59284843559528	0.770500825536602	4
Verkehr und Lagerei	0.577344216603626	0.86372360844531	0.92389315770216	0.633817215293409	5
Gastgewerbe	-0.612758507495348	-0.540441513236245	-1.64912661386568	0.763682647433184	6
Finanz- u. Versicherungsdl.	0.701594533029604	1.64090988018752	0.0309501702259185	0.101663585951939	7
Freiberufl. u. wiss. Dienstl.	1.39487932458475	3.28856328856328	0.873269435569757	0.972992634354841	8
Sonstige wirtschaftl. Dienstl.	1.53972153972155	1.90273172272224	1.34592877445243	1.28063777457383	9
Verwaltung	1.35503905147267	0.630346690679873	1.29189290395058	2.64545370456017	10
Gesundheits- u. Sozialwesen	3.43120518948448	2.52416756176155	3.24840206636898	3.47325102880658	11
