"WOV_NAME"	"Quadratmeterpreis"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Jahr"
"Altstadt Grossbasel"	20.644465	18.9140737	22.3748565	"'Nettomietpreise nach Wohnviertel'"
"Altstadt Kleinbasel"	19.224171	17.9856698	20.4626717	"'Nettomietpreise nach Wohnviertel'"
"Vorstädte"	19.051231	18.1959001	19.9065626	"'Nettomietpreise nach Wohnviertel'"
"Am Ring"	18.920144	18.3538067	19.4864811	"'Nettomietpreise nach Wohnviertel'"
"Rosental"	18.603638	17.9918813	19.2153938	"'Nettomietpreise nach Wohnviertel'"
"St. Alban"	18.35742	17.9079529	18.8068868	"'Nettomietpreise nach Wohnviertel'"
"Clara"	18.306883	17.6913801	18.9223859	"'Nettomietpreise nach Wohnviertel'"
"St. Johann"	17.948198	17.6607766	18.2356185	"'Nettomietpreise nach Wohnviertel'"
"Matthäus"	17.881759	17.4999972	18.2635202	"'Nettomietpreise nach Wohnviertel'"
"Gundeldingen"	17.88101	17.5862632	18.1757564	"'Nettomietpreise nach Wohnviertel'"
"Riehen/Bettingen"	17.800087	17.4812638	18.1189099	"'Nettomietpreise nach Wohnviertel'"
"Gotthelf"	17.610366	17.1289106	18.0918206	"'Nettomietpreise nach Wohnviertel'"
"Bachletten"	17.608302	17.2132325	18.0033713	"'Nettomietpreise nach Wohnviertel'"
"Bruderholz"	17.428494	16.7903422	18.0666468	"'Nettomietpreise nach Wohnviertel'"
"Wettstein"	17.346007	16.6791213	18.0128927	"'Nettomietpreise nach Wohnviertel'"
"Breite"	17.256767	16.8035152	17.7100183	"'Nettomietpreise nach Wohnviertel'"
"Kleinhüningen"	16.827789	16.2040701	17.4515074	"'Nettomietpreise nach Wohnviertel'"
"Klybeck"	16.796024	16.2774277	17.3146194	"'Nettomietpreise nach Wohnviertel'"
"Iselin"	16.744425	16.4535631	17.0352865	"'Nettomietpreise nach Wohnviertel'"
"Hirzbrunnen"	16.319593	15.9185109	16.7206745	"'Nettomietpreise nach Wohnviertel'"

