"Branche"	"2023"	"2024"	"2025"
"Industrie (exkl. Chemie, Pharma)"	0.253	0.249	0.247
"Chemie, Pharma"	0.330	0.323	0.319
"Baugewerbe"	0.203	0.186	0.188
"Handel, Reparatur"	0.164	0.157	0.152
"Verkehr, Lagerei"	0.092	0.093	0.090
"Gastgewerbe"	0.075	0.075	0.077
"Information, Kommunikation"	0.261	0.279	0.306
"Finanz-, Versicherungs-DL"	0.057	0.047	0.045
"Beratung, Planung, Forschung, Immobilien"	0.314	0.328	0.352
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.392	0.415	0.431
"Personalvermittlung, -überlassung"	0.180	0.202	0.199
"Öffentliche Verwaltung, Sozialversicherungen"	0.111	0.116	0.123
"Erziehung, Unterricht"	0.039	0.037	0.037
"Gesundheits-, Sozialwesen"	0.106	0.104	0.107
"Kultur, Unterhaltung, pers. DL"	0.104	0.132	0.135
"Total"	0.177	0.180	0.184

