"Branche"	"2023"	"2024"	"2025"
"Industrie (exkl. Chemie, Pharma)"	0.041	0.052	0.058
"Chemie, Pharma"	0.015	0.022	0.031
"Baugewerbe"	0.110	0.115	0.096
"Handel, Reparatur"	0.034	0.043	0.049
"Verkehr, Lagerei"	0.047	0.049	0.054
"Gastgewerbe"	0.085	0.097	0.105
"Information, Kommunikation"	0.034	0.055	0.070
"Finanz-, Versicherungs-DL"	0.027	0.043	0.052
"Beratung, Planung, Forschung, Immobilien"	0.027	0.038	0.049
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.073	0.083	0.101
"Personalvermittlung, -überlassung"	0.022	0.045	0.037
"Öffentliche Verwaltung, Sozialversicherungen"	0.007	0.008	0.011
"Erziehung, Unterricht"	0.021	0.028	0.033
"Gesundheits-, Sozialwesen"	0.021	0.026	0.031
"Kultur, Unterhaltung, pers. DL"	0.025	0.035	0.043
"Total"	0.030	0.037	0.043

