	Unter 5 Minuten	5 bis 9 Minuten	10  bis 20 Minuten	Über 20 Minuten	Weiss nicht	Keine Angabe
*Familienform						
Einelternfamilie (n=272)	61.8	27.2	7.0	0.0	2.9	1.1
Zweielternfamilie (n=1 372)	65.5	25.5	6.9	0.6	0.4	1.1
*Anzahl Kinder						
1 Kind (n=562)	63.9	27.0	6.4	0.5	1.1	1.1
2 Kinder (n=750)	64.3	25.5	7.9	0.4	0.8	1.2
3 Kinder u.m. (n=353)	67.4	24.1	5.7	0.6	0.6	1.7
*Alter jüngstes Kind						
0-4 Jahre (n=610)	65.7	25.7	6.7	0.7	0.2	1.0
5-8 Jahre (n=364)	63.2	28.0	7.4	0.5	0.0	0.8
9-12 Jahre (n=277)	63.2	24.9	9.7	0.0	0.7	1.4
13-17 Jahre (n=389)	66.3	24.4	4.4	0.3	2.8	1.8
*Bildungsniveau Eltern						
Obligat. Schule (n=105)	73.3	17.1	4.8	0.0	1.0	3.8
Sekundarstufe II (n=553)	67.8	24.8	4.5	0.4	0.7	1.8
Tertiärstufe (n=983)	61.7	27.7	8.5	0.6	0.8	0.6
*Haushaltssprache						
ch/dt (n=870)	62.5	28.0	7.6	0.5	0.8	0.6
ch/dt und andere (n=516)	68.0	22.5	6.0	0.8	0.6	2.1
nur andere (n=246)	67.9	23.6	6.5	0.0	1.6	0.4
*Haushaltseinkommen						
<3 000 Fr. (n=111)	74.8	18.9	4.5	0.0	0.9	0.9
3 000-7 499 Fr. (n=580)	69.1	23.3	4.5	0.3	0.5	2.2
>7 499 Fr. (n=855)	62.1	27.1	8.9	0.6	0.8	0.5
*Wahlkreis						
Grossbasel Ost (n=415)	63.4	25.8	7.2	1.2	1.4	1.0
Grossbasel West (n=585)	62.2	29.2	6.7	0.0	0.7	1.2
Kleinbasel (n=376)	72.9	20.5	4.3	0.0	0.8	1.6
Riehen, Bettingen (n=253)	60.1	25.7	11.5	1.2	0.4	1.2
*Befragungsjahr						
2009 (N=3 119)		80.6	14.9	2.0	1.4	1.1
2013 (N=2 231)	63.6	25.0	7.8	0.8	0.9	1.8
2017 (N=1 665)	64.8	25.7	6.9	0.5	0.8	1.3
