Staatsangehörigkeit,Ausland,Deutschland,Italien,Spanien,Türkei,Ehem. Jugoslawien ohne SLO,Maghreb und Ägypten,EU-Oststaaten,Mittel- und Südamerika
2006,24.5,9.1,21,21.9,33.5,37.7,26,14.4,14.7
2007,23.1,9.1,20.1,20.7,33.8,37.5,27.2,13.9,15.1
2008,22.2,8.9,18.9,20.1,33.5,36.4,25.4,14.5,13.4
2009,21.7,8.3,17.5,19.9,33,36.9,25.7,15.7,12.6
2010,20.9,8.1,16.8,19.9,32.9,36.7,23.4,14.1,14.1
2011,20.7,8.4,15.9,19.9,32.6,36.1,26.9,13.1,13.8
2012,20.1,7.8,15,19.6,32.1,35.1,28,13.6,13.5
2013,19.6,8,14.9,19.1,32,34.2,27.7,13.8,13.7
2014,18.7,7.8,14.6,18.2,31.4,33,28,15.2,12.3
2015,18.7,7.7,14.7,17.6,30.8,32.7,29.3,14.6,12.9
