jahr	Belegte Wohnungen	Leerstehende Wohnungen	Wohnbevölkerung (rechte Skala)
1974	95817	451	224521
1976	96736	1268	217888
1979	98380	616	208091
1980	98346	447	206396
1982	98970	892	203920
1983	99426	860	203212
1984	99964	833	202689
1985	100125	1077	202113
1986	100719	779	199945
1987	101125	713	198515
1988	101288	531	196752
1989	101581	309	196036
1990	101731	175	196699
1991	101740	202	197987
1992	101843	235	198609
1993	102239	248	199570
1994	102458	337	199004
1995	102682	550	198128
1996	102970	804	196647
1997	102495	1249	194268
1998	102293	1578	192192
1999	102381	1602	190247
2000	102732	1360	188151
2001	102558	1466	187436
2002	102880	1383	188085
2003	102928	1420	188079
2004	102897	1502	188478
2005	102790	1586	187463
2006	103157	1471	187368
2007	103274	1468	187684
2008	103449	1294	189274
2009	103829	969	190045
2010	104295	783	190333
2011	104744	522	192076
2012	105264	500	193459
2013	105560	361	195459
2014	107025	245	196471
2015	106909	361	197204
2016	108001	452	198206
2017	108574	546	198988
2018	109177	782	200256
2019	109944	1124	200407
