Jahr	Zuzugsort: unbekannt	Zuzugsort: Ausland	Zuzugsort: übrige Schweiz	Zuzugsort: Nordwestschweiz	Wegzugsort: unbekannt	Wegzugsort: Ausland	Wegzugsort: übrige Schweiz	Wegzugsort: Nordwestschweiz	 Saldo
2014	17	7872	2776	2855	-1215	-4604	-2692	-4216	793
2015	44	8027	3031	3177	-1372	-4933	-2838	-4424	712
2016	31	8291	3259	3268	-1425	-5004	-2903	-4615	902
2017	25	7697	3018	2996	-1252	-4885	-2773	-4248	578
2018	80	7756	3068	3165	-1294	-4700	-3205	-4337	688
2019	115	7973	2795	3130	-714	-4842	-2878	-4365	1214
2020	65	7056	3141	3218	-736	-3984	-3063	-4741	956
2021	71	6776	3042	2925	-1231	-4326	-3070	-5187	-1000
2022	213	9678	3130	2776	-1077	-4401	-2994	-4607	2718
2023	111	8141	3121	2910	-1251	-4525	-2979	-4175	1353	
