Jahr	 Schweiz	 Deutschland	 Italien	 Türkei	 EU-17 & EFTA	 EU-Ost	 Balkan	 Mittel- & Südamerika	 Arab. Länder	 Afrikan. Länder	 Übrige Länder
1997	14	14.5	6.2	0.8	7.7	8.4	0.5	0	0	0	2.7
1998	14.6	13.4	6.5	0.9	8.2	6.3	0.4	0	3.2	0	3
1999	14.9	13	6.3	1.3	7.6	8.3	0.8	0	3.8	0	2.7
2000	14.9	12.5	5.6	1.2	6.1	5.5	0.9	0	3.8	1.6	3.1
2001	15.2	13.4	6.6	1.9	5.7	10.1	1.4	1.1	0	1.3	4.2
2002	16.5	11.3	6.6	1.8	5.3	9.2	1.8	1.1	0	1	4.8
2003	17.2	9.4	5.8	1.7	5.8	10.4	1.4	1.1	0	1	5
2004	18.2	8.4	6.3	2.5	5.2	7.8	1.3	0.9	0	1	4
2005	18.7	6.9	5.8	2.2	4.5	5.9	1.3	0.9	0	0	6.3
2006	18.9	5.7	6.6	2.5	6	3.5	1.4	1.7	0	0	5.2
2007	19.3	5.5	5.6	2.8	5.5	4.9	1.2	0.8	1.8	0	4.7
2008	20	5.2	5.6	2.7	6.4	4.1	1.6	2.4	1.3	0	6.5
2009	20.8	6.5	6.3	2	7.2	3.1	1.5	3.1	1.3	2.2	7.6
2010	20.9	7.9	7.3	2.2	6.5	6.1	1.8	4.8	1.4	2.2	7
2011	22.2	8.6	6.1	2.3	5.8	5	1.8	4.9	1.5	1	3.1
2012	22.5	10.6	4.9	2.3	5.8	4.7	2.8	3.4	0	1	4
2013	23.6	10.4	5.1	2.8	6	4.3	3.1	3.1	0	0	2.7
2014	23.6	11.3	5.9	4	5.4	4	3.8	2.1	2.9	0	5.2
2015	24.3	12.1	7.5	4	6.1	4.8	5.5	2	1.2	2	6.6
2016	25.1	12	7.7	5.2	8.1	5.8	5	3	1.1	1.9	8.5
