""	"Gastgewerbe"	"Primärer Sektor"	"Verkehr, Lagerei"	"Handel, Reparatur"	"Baugewerbe"	"Maschinen"	"Metallprodukte"	"Freib., wiss., tech. DL"	"Öff. Verwaltung, Bildung"	"Elektronik/Optik"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	96.62	90.57	97.29	109.79	98.80	100.02	98.44	101.60	100.61	88.18	102.39	102.32	103.51	127.14
"2016"	96.47	91.42	95.74	113.91	99.87	99.77	98.61	101.23	100.81	83.38	104.30	107.31	107.68	154.83
"2017"	98.58	88.56	96.94	111.60	100.62	101.72	108.40	101.63	101.81	82.30	105.63	111.18	107.24	181.82
"2018"	102.92	96.11	100.67	108.73	104.02	104.09	109.18	110.25	102.29	93.18	107.81	113.67	126.13	202.39
"2019"	104.39	92.44	104.16	106.51	104.68	95.09	107.98	109.39	103.42	93.74	109.79	118.86	131.71	228.13
"2020"	61.44	91.46	82.39	107.22	102.66	83.25	95.51	114.29	105.93	84.24	116.42	119.36	130.36	244.19
"2021"	59.64	84.82	80.22	102.41	105.60	98.23	104.71	119.51	106.66	106.49	123.21	125.62	148.61	321.81
"2022"	87.77	94.18	97.68	97.96	99.75	104.70	106.07	108.07	108.23	113.97	121.97	132.08	162.09	357.63

