""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2011-01"	31	1414	290
"2011-02"	34	1440	184
"2011-03"	54	1425	259
"2011-04"	46	1406	189
"2012-01"	28	1419	402
"2012-02"	21	1341	206
"2012-03"	22	1372	289
"2012-04"	20	1367	262
"2013-01"	10	1319	233
"2013-02"	18	1306	641
"2013-03"	25	1331	273
"2013-04"	26	1354	203
"2014-01"	25	1383	1066
"2014-02"	17	1341	589
"2014-03"	31	1402	291
"2014-04"	29	1402	201
"2015-01"	18	1398	1055
"2015-02"	21	1421	437
"2015-03"	19	1366	280
"2015-04"	16	1324	170
"2016-01"	13	1393	1099
"2016-02"	12	1338	423
"2016-03"	18	1319	245
"2016-04"	17	1314	161
"2017-01"	12	1277	852
"2017-02"	4	1351	435
"2017-03"	13	1290	305
"2017-04"	7	1237	165
"2018-01"	12	1227	778
"2018-02"	5	1251	332
"2018-03"	39	1194	188
"2018-04"	11	1213	159
"2019-01"	11	1085	448
"2019-02"	6	1034	348
"2019-03"	23	1068	203
"2019-04"	17	1072	202
"2020-01"	10	1119	248
"2020-02"	7	1086	126
"2020-03"	14	1104	128
"2020-04"	12	973	126

