Jahr	Stadt Basel	Mittelwert Vergleichsstädte	Bewertung	Veränderung Stadt Basel	Veränderung Mittelwert Vergleichsstädte	Bern	Winterthur	Zürich	St. Gallen	Luzern	Lausanne
2012	6.4	5.4				5.3	4.6	4.7	4.1	3.2	10.3
2013	6.5	5.5		0.1	0.1	5.3	4.9	4.7	4.3	3.3	10.2
2014	6.3	5.3		-0.2	-0.2	5.4	5.0	4.6	4.3	3.5	9.2
2015	6.3	5.3		0.0	0.0	5.2	5.3	4.5	4.2	3.5	8.8
2016	6.7	5.4		0.4	0.1	5.1	5.5	4.6	4.4	3.8	8.8
2017	6.6	5.5		-0.1	0.1	5.0	5.6	4.8	4.6	4.1	8.7
2018	6.6	5.3		0.0	-0.2	5.0	5.6	4.6	4.5	3.9	8
2019	6.4	5.2		-0.2	-0.1	5.0	5.5	4.5	4.4	4.0	7.6
2020	6.1	5.2	0	-0.3	0.0	5.1	5.5	4.5	4.4	4.2	7.6
2021	5.7	5.1	0	-0.4	-0.1	5.1	5.5	4.3	4.2	4.4	7.2
2022	5.3	4.9	0	-0.4	-0.2	4.9	5.0	4.1	4.3	4.5	6.8
2023	5.1	4.7	0	-0.2	-0.2	4.6	4.8	3.8	4.1	4.2	6.8
2024	5.0	4.8	0	-0.1	0.1	5.0	5.2	3.5	3.8	3.9	7.2
