	Sehr gut	Eher gut	Eher nicht gut	Gar nicht gut	Weiss nicht	Keine Angabe
*Geschlecht						
Männlich (n=903)	33.6	53.7	10	1.6	0.7	0.6
Weiblich (n=1 161)	29.5	54.6	12.3	2.2	0.4	1
*Haushaltseinkommen						
<3 000 Fr. (n=252)	23.8	48.4	21.8	4.8	0.4	0.8
3 000-7 499 Fr. (n=853)	26.6	57.7	13.1	1.9	0.1	0.6
>7 499 Fr. (n=688)	41	52.9	4.9	0.6	0.1	0.4
*Wahlkreis						
Grossbasel Ost (n=570)	33.9	52.6	9.5	2.1	0.4	1.6
Grossbasel West (n=747)	30.7	53.4	12	1.3	0.7	1.9
Kleinbasel (n=464)	28.9	54.1	11.2	2.8	0.4	2.6
Riehen, Bettingen (n=278)	30.6	55	11.2	1.1	0.7	1.4
*Haushaltsform						
Single-HH (n=886)	27.5	52.3	15	3.3	1	0.9
Übrige HH o. K. (n=825)	31.9	56.6	9.8	0.8	0.1	0.7
HH m. Kindern (n=371)	38.3	53.9	5.7	0.8	0.5	0.8
*Alter						
18-29 Jahre (n=155)	43.2	45.2	7.7	0.6	2.6	0.6
30-39 Jahre (n=322)	39.8	49.1	8.1	1.9	0.3	0.9
40-49 Jahre (n=305)	39.7	53.4	4.6	2	0	0.3
50-59 Jahre (n=364)	31.6	53.3	11.5	2.2	0.5	0.8
60-69 Jahre (n=363)	30	55.6	11.6	1.7	0.3	0.8
>69 Jahre (n=538)	18.8	60.6	17.5	2	0.4	0.7
*Staatsangehörigkeit						
Schweiz (n=1 635)	30.5	54.6	11.1	1.7	0.5	1.7
Ausland (n=447)	33.6	51	11.2	2.7	0.9	0.7
*Befragungsjahr						
2003 (N=1 497)	40.6	45.7	11	2.5	0.3	0
2005 (N=1 510)	45.4	43.3	10	1.3	0.1	0
2007 (N=1 509)	40.8	45.7	12.1	1.3	0.1	0
2011 (N=1 516)	44.9	42.9	9.8	2.3	0.1	0
2015 (N=1 506)	39.2	47.2	10.6	2.7	0.3	0
2019 (N=2 108)	30.9	53.6	11.1	1.9	0.6	1.9
