Jahr	Eigenbeitrag Bewohnende Pensions- und Betreuungstaxe	Eigenbeitrag Bewohnende Pflegetaxe (gemäss KVG)	Beiträge Krankenversicherer (gemäss KVG)	Kanton/Gemeinde: Restfinanzierung (gemäss KVG)	Kanton/Gemeinde: Ergänzungsleistungen	Total
2011	110.1	18.5	55.1	26.7	58.6	269
2012	114.2	18.7	54.9	30.5	61.9	280.2
2013	112.8	19.3	48.2	37.3	65.2	282.8
2014	124.9	19.8	49.2	37	64.6	295.5
2015	136.4	20.5	51	38.9	66.4	313.2
2016	136.1	21	52.6	41.4	68.9	320
2017	148.7	22.5	60.9	41.9	68.1	342.1
2018	148.7	21.8	60.5	45.2	68.5	344.7
2019	152.3	21	60.4	48.5	65	347.2
2020	147.5	22.1	61.9	44.6	64.2	340.3
2021	143	21.3	60.2	45.5	59.2	329.2
2022	146.2	21.6	61.2	48.4	59.2	336.6
