""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ Verkehr"
"2013-01"	42	701	17
"2013-02"	31	709	31
"2013-03"	20	716	10
"2013-04"	20	696	8
"2014-01"	6	709	35
"2014-02"	14	693	13
"2014-03"	14	699	8
"2014-04"	11	683	11
"2015-01"	13	673	38
"2015-02"	9	672	26
"2015-03"	17	715	13
"2015-04"	27	727	6
"2016-01"	14	730	23
"2016-02"	26	649	14
"2016-03"	19	648	8
"2016-04"	9	631	4
"2017-01"	14	636	15
"2017-02"	10	638	12
"2017-03"	26	615	11
"2017-04"	10	607	5
"2018-01"	19	573	6
"2018-02"	19	571	8
"2018-03"	24	572	11
"2018-04"	20	575	33
"2019-01"	16	585	29
"2019-02"	13	567	42
"2019-03"	25	592	93
"2019-04"	21	583	12
"2020-01"	11	574	43
"2020-02"	3	565	61
"2020-03"	36	575	21
"2020-04"	38	559	21
"2021-01"	7	558	10
"2021-02"	19	560	8
"2021-03"	25	565	92
"2021-04"	29	565	37
"2022-01"	14	553	13
"2022-02"	18	543	48
"2022-03"	10	541	61
"2022-04"	22	525	21

