""	"Industrie"	"Baugewerbe"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastronomie, Beherbergung"	"Information, Kommunikation"	"Finanz- und Versicherungsdienstl."	"Immobilien, wirtschaftliche Dienstl."	"Freiberufl., wiss., techn. Dienstl."	"Unterrichtswesen"	"Gesundheits- und Sozialwesen"	"Kunst, Unterhaltung, Erholung"	"Sonstige Dienstleistungen"
"2013"	28	75	84	35	29	52	23	75	242	45	121	122	85
"2014"	42	77	118	25	41	77	23	88	330	80	137	165	89
"2015"	35	68	95	37	33	67	23	97	276	49	126	147	100
"2016"	29	64	74	32	38	67	19	74	251	47	120	112	87
"2017"	38	61	93	29	28	70	25	81	269	63	132	100	80
"2018"	38	59	70	33	36	61	14	77	311	41	111	97	67
"2019"	39	78	69	17	38	87	18	75	272	72	133	132	83
"2020"	43	79	79	21	28	82	14	91	295	54	112	121	105
"2021"	39	73	102	24	25	71	27	76	307	67	132	129	94

