""	"Männer aus Frankreich"	"Frauen aus Frankreich"	"Männer aus Deutschland"	"Frauen aus Deutschland"	"Männer aus übrigen Ländern"	"Frauen aus übrigen Ländern"
"2013-1"	10503	6766	9079	6393	115	35
"2013-2"	10751	6821	9212	6491	135	36
"2013-3"	10820	6833	9354	6622	149	31
"2013-4"	10675	6817	9326	6629	162	32
"2014-1"	10631	6841	9364	6673	173	39
"2014-2"	10933	6867	9518	6758	181	48
"2014-3"	11135	6858	9642	6874	187	42
"2014-4"	11006	6865	9594	6896	187	43
"2015-1"	10911	6896	9644	6973	199	42
"2015-2"	11116	6898	9734	7077	251	45
"2015-3"	11183	6956	9765	7120	273	33
"2015-4"	10947	6908	9711	7191	192	39
"2016-1"	10921	6974	9775	7385	206	39
"2016-2"	11099	7013	9917	7436	250	42
"2016-3"	11225	7003	9955	7431	284	42
"2016-4"	11089	7011	9909	7432	256	45
"2017-1"	10942	6965	9803	7313	261	50
"2017-2"	11151	7018	9870	7362	288	58
"2017-3"	11268	7059	9902	7389	298	59
"2017-4"	11038	7087	9790	7400	284	62
"2018-1"	10841	6987	9592	7255	263	62
"2018-2"	11027	7026	9599	7229	290	64
"2018-3"	10949	6915	9570	7207	300	68
"2018-4"	10562	6876	9398	7118	279	66
"2019-1"	10522	6828	9334	7030	293	74
"2019-2"	10766	6871	9345	7043	325	73
"2019-3"	10966	6882	9364	7017	354	72
"2019-4"	10808	6943	9397	7002	328	69
"2020-1"	10782	6951	9359	6949	307	67
"2020-2"	10781	6923	9419	6969	311	71
"2020-3"	10923	6930	9453	6956	351	71
"2020-4"	10699	6880	9396	6949	329	68
"2021-1"	10906	6849	9354	6850	315	88
"2021-2"	10870	6854	9316	6845	311	85
"2021-3"	10981	6905	9310	6849	311	89
"2021-4"	11135	6968	9340	6891	316	95
"2022-1"	11110	7070	9317	6908	313	90
"2022-2"	11155	7117	9299	6886	311	84
"2022-3"	11321	7240	9388	6961	322	89
"2022-4"	11465	7311	9336	7015	321	93

