	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	3.4	8	13.8	44.5	9.6	20.6
Mehrpersonen-HH (n=871)	1.5	6.9	13.1	55.8	6	16.8
*Geschlecht						
Männlich (n=637)	1.7	8.6	13.8	54.9	6.6	14.3
Weiblich (n=760)	2.5	6.6	12.8	49.2	8.4	20.5
*Alter						
55-64 Jahre (n=518)	1.9	8.1	18.5	55.2	6.6	9.7
65-74 Jahre (n=434)	2.5	8.8	12	53.9	7.8	15
>74 Jahre (n=441)	2	5.7	8.4	45.6	7.7	30.6
*Staatsangehörigkeit						
Schweiz (n=1 280)	2.2	7.6	13.2	51.5	7	18.6
Ausland (n=120)	1.7	5.8	12.5	53.3	14.2	12.5
*Haushaltseinkommen						
<5 000 Fr. (n=428)	1.4	8.2	10.7	46.5	11.7	21.5
5 000-7 499 Fr. (n=325)	2.5	7.7	15.1	53.5	3.7	17.5
>7 499 Fr. (n=440)	1.6	7.5	16.1	58.4	5	11.4
*Wahlkreis						
Grossbasel Ost (n=357)	2.2	7.8	14.6	50.1	6.7	18.5
Grossbasel West (n=474)	1.9	8.9	14.6	50.4	8.2	16
Kleinbasel (n=306)	3.6	6.2	13.7	48.7	9.2	18.6
Riehen, Bettingen (n=240)	0.4	5.4	7.5	60.8	6.3	19.6
*Befragungsjahr						
2011 (N=1 689)	1.4	4.3	7	50.2	8.2	29
2015 (N=1 427)	1.5	7.7	11.4	51.9	8.1	19.5
2019 (N=1 410)	2.1	7.4	13.1	51.3	7.6	18.4

