"Branche"	"2013"	"2014"	"2015"
"Industrie (exkl. Chemie, Pharma)"	8176	8075	8208
"Chemie, Pharma"	18295	18483	18844
"Baugewerbe"	7318	7739	7800
"Handel, Reparatur"	12700	12563	12404
"Verkehr, Lagerei"	10916	10716	9760
"Gastgewerbe"	7163	7327	7400
"Information, Kommunikation"	4437	4227	4029
"Finanz-, Versicherungs-DL"	10121	10186	10074
"Beratung, Planung, Forschung, Immobilien"	18830	19292	19171
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	5728	5863	5915
"Personalvermittlung, -überlassung"	6594	6484	6041
"Öffentliche Verwaltung, Sozialversicherungen"	5093	5172	5214
"Erziehung, Unterricht"	7669	8010	7852
"Gesundheits-, Sozialwesen"	20373	20700	21312
"Kultur, Unterhaltung, pers. DL"	7289	7384	7527

