"Jahr"	"Laden"	"Büro"	"Gewerbe"	"Produktion"	"Lager"	"Total"
2004	7135	52201	3372	10420	11908	85036
2005	11604	65745	8888	11055	22125	119417
2006	12642	43273	12130	10362	13818	92225
2007	7906	52559	13558	1065	13534	88622
2008	8597	60842	6705	1015	17594	94753
2009	20200	49314	4494	456	36465	110929
2010	13516	81705	5562	75	40281	141139
2011	16373	87909	18925	2000	43476	168683
2012	14333	91175	18102	1057	23853	148520
2013	9503	71229	19987	1642	15360	117721
2014	17186	75525	6126	682	15894	115413
2015	17576	60952	6866	821	17931	104146
2016	10559	54565	7793	2035	11291	86243
2017	11956	59699	17388	380	20317	109740
2018	12060	58024	16987	1098	19178	107347
2019	10624	61674	10161	3897	12287	98643
2020	9220	76480	18532	1791	14520	120543
2021	16033	122422	23556	410	22258	184679
2022	16317	110692	47038	3000	24543	201590
2023	15081	134317	24498	1242	15450	190588

