	Sehr sicher	Eher sicher	Eher unsicher	Ganz unsicher	Geht nachts nie raus	Weiss nicht	Keine Angabe
*Alter						
18-29 Jahre (n=155)	36.8	43.2	12.9	4.5	0	1.3	1.3
30-39 Jahre (n=322)	37	43.2	14.9	4	0	0.6	0.3
40-49 Jahre (n=305)	33.1	47.5	13.1	4.9	0.7	0	0.7
50-59 Jahre (n=364)	27.2	47	19	4.7	0.8	0.3	1.1
60-69 Jahre (n=363)	17.1	47.1	23.7	9.4	0.8	0	1.9
>69 Jahre (n=538)	9.5	38.7	30.3	12.8	4.5	0.4	3.9
*Geschlecht						
Männlich (n=903)	29.8	42.9	17.8	7.1	1.1	0.3	1
Weiblich (n=1 161)	19.3	44.6	23.3	8.2	1.9	0.3	2.3
*Haushaltseinkommen						
<3 000 Fr. (n=252)	18.3	43.7	22.2	9.9	2.8	0	3.2
3 000-7 499 Fr. (n=853)	19.9	44.2	23.1	8.8	1.9	0.4	1.8
>7 499 Fr. (n=688)	33.7	45.2	15.4	4.2	0.3	0.3	0.9
*Befragungsjahr						
2003 (N=1 497)	33.7	36.2	16.6	5.8	7.7	0	0
2005 (N=1 510)	34.2	35.5	16.9	6	7.3	0.1	0
2007 (N=1 509)	29.8	37.4	18.9	6	7.8	0.1	0
2011 (N=1 516)	28.8	34.8	23.3	7.1	6.1	0.1	0
2015 (N=1 506)	24.5	37.9	22.2	7.4	7.9	0.1	0
2019 (N=2 108)	23.6	43.9	21	7.8	1.5	0.3	1.9
