Jahr	Stadt Basel	Mittelwert Vergleichsstädte	Bewertung	Veränderung Stadt Basel	Veränderung Mittelwert Vergleichsstädte	Bern	Winterthur	Zürich	Biel
2012	6.4	6.5				5.3	4.6	4.7	11.4
2013	6.5	6.65		0.1	0.15	5.3	4.9	4.7	11.7
2014	6.3	6.625		-0.2	-0.025	5.4	5	4.6	11.5
2015	6.3	6.65		0	0.025	5.2	5.3	4.5	11.6
2016	6.7	6.75		0.4	0.1	5.1	5.5	4.6	11.8
2017	6.6	6.725		-0.1	-0.025	5	5.6	4.8	11.5
2018	6.6	6.55		0	-0.175	5	5.6	4.6	11
2019	6.4	6.425		-0.2	-0.125	5	5.5	4.5	10.7
2020	6.1	6.4	0	-0.3	-0.025	5.1	5.5	4.5	10.5
2021	5.7	6.275	0	-0.4	-0.125	5.1	5.5	4.3	10.2
2022	5.3	5.975	0	-0.4	-0.3	4.9	5.0	4.1	9.9
