""	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"2013-1"	301	302	5449	19472
"2013-2"	448	548	3231	16033
"2013-3"	1098	555	4717	11341
"2013-4"	500	536	3300	14547
"2014-1"	253	418	3882	12000
"2014-2"	397	522	3565	13464
"2014-3"	1169	764	6154	10732
"2014-4"	576	922	3109	13685
"2015-1"	495	894	5496	11375
"2015-2"	259	693	3931	8612
"2015-3"	1366	564	6057	8936
"2015-4"	514	498	3275	14410
"2016-1"	469	825	4578	13738
"2016-2"	801	725	3737	15218
"2016-3"	2090	631	6705	11801
"2016-4"	586	1007	3957	14571
"2017-1"	896	753	4093	15771
"2017-2"	1204	981	3367	15154
"2017-3"	1883	1176	6986	13242
"2017-4"	1067	1252	4608	17736
"2018-1"	540	693	5055	15051
"2018-2"	1063	1566	3744	15640
"2018-3"	2034	1692	7139	14146
"2018-4"	923	1149	4523	17873
"2019-1"	635	823	5410	12408
"2019-2"	873	1351	3960	13640
"2019-3"	1494	976	6681	10903
"2019-4"	1166	1439	4408	14942
"2020-1"	838	884	5661	10582
"2020-2"	896	641	6902	3920
"2020-3"	1062	961	7594	10895
"2020-4"	845	1340	6550	8046
"2021-1"	658	528	5784	2619
"2021-2"	644	813	3455	8787
"2021-3"	1425	827	5899	9163
"2021-4"	915	1137	6421	10990
"2022-1"	758	952	7078	10722
"2022-2"	1151	1572	6126	11135
"2022-3"	1372	1228	7777	8489
"2022-4"	1114	1257	5729	12739

