"WohnviertelId"	"Wohnviertel_Name"	"Anteil Haushalte mit PV (%)"	"Differenz 2018 zu 2013 (pp)"
01	Altstadt Grossbasel	9.4594594595	1.8993220024
02	Vorstädte	8.2816490332	-0.766143743
03	Am Ring	10.630498534	0.7381824176
04	Breite	15.566625156	-0.986662826
05	St. Alban	9.4492345592	0.1163743747
06	Gundeldingen	15.64426478	-0.428230739
07	Bruderholz	9.9378881988	1.6869000565
08	Bachletten	11.222627737	-0.049177839
09	Gotthelf	12.690217391	0.752684305
10	Iselin	17.900327721	1.6333008153
11	St. Johann	18.571911251	0.5469519458
12	Altstadt Kleinbasel	12.990936556	-0.347536844
13	Clara	16.633858268	1.0208314478
14	Wettstein	12.148559528	1.0143963191
15	Hirzbrunnen	15.924579736	-0.05161074
16	Rosental	17.408906883	-1.935743729
17	Matthäus	19.418842806	0.8832309811
18	Klybeck	25.007303535	2.0366645021
19	Kleinhüningen	23.338607595	4.0512334664
20	Riehen	9.9647449191	0.6805343928
30	Bettingen	10.515021459	-1.11808816
