wohnviertel_id_kdm	Wohnviertel Name	2016	Differenz 2016 zu 1998	1998
1	Altstadt GB	0.43352601156	-1.72628689809466E-02	0.450788880540947
2	Vorstädte	0.534759358288	-1.32421500068636	1.85897435897436
3	Am Ring	0.453221107154	-1.59467319507556	2.04789430222956
4	Breite	0.491772271609	-0.307603825096011	0.799376096705011
5	St. Alban	0.830618892508	-9.42994970458628E-02	0.924918389553863
6	Gundeldingen	0.270758122743	-1.73761804325738	2.00837616600038
7	Bruderholz	0.389283260819	4.50886761471322E-02	0.344194584671868
8	Bachletten	0.166458593424	-0.253768329114171	0.420226922538171
9	Gotthelf	0.292754330324	-0.235456954189806	0.528211284513806
10	Iselin	0.343642611683	-1.24881417197336	1.59245678365636
11	St. Johann	0.189054726368	-2.09074842719231	2.27980315356031
12	Altstadt KB	0.588235294117	-1.88411343717773	2.47234873129473
13	Clara	0.431406384814	-1.67289370667731	2.10430009149131
14	Wettstein	0.214592274678	-1.32181387094658	1.53640614562458
15	Hirzbrunnen	1.280409731113	0.528197341732469	0.752212389380531
16	Rosental	0.438468284127	-3.04433537281684	3.48280365694384
17	Matthäus	0.306922814595	-2.30197271465451	2.60889552924951
18	Klybeck	0.187265917602	-1.80618028665797	1.99344620425997
19	Kleinhüningen	0.294767870302	-1.22280401468203	1.51757188498403
20	Riehen	0.505751685838	-0.261757108533602	0.767508794371602
30	Bettingen	2.012072434607	0.619961065697487	1.39211136890951
