	Stimmt genau	Stimmt eher	Stimmt eher nicht	Stimmt gar nicht	Weiss nicht	Keine Angabe
*Familienform						
Einelternfamilie (n=272)	21.7	21.0	17.3	27.2	3.3	9.6
Zweielternfamilie (n=1 372)	11.6	18.8	19.2	41.2	3.6	5.6
*Anzahl Kinder						
1 Kind (n=562)	13.3	19.6	16.5	40.7	3.2	6.6
2 Kinder (n=750)	12.4	17.9	20.5	39.5	3.3	6.4
3 Kinder u.m. (n=353)	15.0	21.5	17.8	34.0	5.9	5.7
*Alter jüngstes Kind						
0-4 Jahre (n=610)	15.9	23.6	16.7	35.4	3.3	5.1
5-8 Jahre (n=364)	12.4	15.1	22.3	39.6	4.7	6.0
9-12 Jahre (n=277)	10.8	17.0	19.5	41.2	4.0	7.6
13-17 Jahre (n=389)	11.8	18.5	17.0	42.4	3.6	6.7
*Bildungsniveau Eltern						
Obligat. Schule (n=105)	15.2	14.3	20.0	18.1	11.4	21.0
Sekundarstufe II (n=553)	16.5	22.2	19.2	30.0	3.8	8.3
Tertiärstufe (n=983)	11.0	18.3	18.0	46.2	3.0	3.6
*Haushaltssprache						
ch/dt (n=870)	13.2	20.6	17.6	42.8	2.4	3.4
ch/dt und andere (n=516)	15.3	18.0	20.0	34.5	3.5	8.7
nur andere (n=246)	9.8	15.9	19.9	33.7	9.8	11.0
*Haushaltseinkommen						
<3 000 Fr. (n=111)	17.1	27.0	18.0	16.2	8.1	13.5
3 000-7 499 Fr. (n=580)	20.0	22.8	22.4	24.3	3.4	7.1
>7 499 Fr. (n=855)	8.7	16.6	16.3	53.3	2.2	2.9
*Wahlkreis						
Grossbasel Ost (n=415)	13.5	20.0	18.6	41.9	1.4	4.6
Grossbasel West (n=585)	13.7	19.5	16.9	38.6	4.6	6.7
Kleinbasel (n=376)	13.8	18.6	19.9	34.3	5.3	8.0
Riehen, Bettingen (n=253)	11.1	17.8	21.7	41.5	3.2	4.7
*Befragungsjahr						
2009 (N=3 119)	15.7	19.4	17.3	33.5	4.0	10.1
2013 (N=2 231)	13.5	17.5	18.0	38.3	4.3	8.2
2017 (N=1 665)	13.3	19.2	18.6	38.7	3.8	6.3
