Steuerjahr	Mittelwert Friedmattviertel	Median Friedmattviertel	Mittelwert Kannenfeld	Median Kannenfeld	Mittelwert Landskron	Median Landskron	Mittelwert Lysbüchel	Median Lysbüchel	Mittelwert Pestalozzi	Median Pestalozzi
2005	55829	46207.5	58437	49335.0	43098	39450.0	38414	34787.0	47459	43012.0
2006	56720	46721.5	58106	48996.0	43000	39450.0	38524	34907.0	48580	43646.0
2007	58667	47680.0	57293	48164.0	44475	40919.0	40577	35801.0	49976	44444.5
2008	54438	44764.5	57637	46575.5	41994	38792.0	39972	31757.0	48361	42280.0
2009	54038	44503.5	56846	47193.5	42015	38312.0	40806	34606.0	49807	43318.5
2010	54614	44275.0	57537	46754.0	42263	38125.0	46291	39721.0	50535	43463.0
2011	55117	44052.0	56995	47452.5	42074	37057.0	49613	41874.0	50053	43719.5
2012	56404	45026.5	57993	47861.0	42282	37293.0	51726	41860.0	50751	44000.0
2013	56593	44479.0	59536	48731.0	42940	37636.5	57406	41629.5	52081	44194.0
2014	56350	43606.0	60195	47609.0	43383	37275.0	59739	43439.5	54347	45244.0
2015	56117	44371.0	59641	47145.5	43548	36907.0	64445	46717.0	54502	46033.0
2016	54917	42660.0	62042	48752.0	43554	36564.5	65439	45124.0	54589	45058.0
2017	55840	43011.0	63662	48769.5	43545	36402.5	63097	45529.0	56341	46901.0
2018	56602	43423.0	65621	47776.0	43664	36947.0	67412	47289.5	58337	47731.0
2019	57264	43000.0	67364	48985.0	45344	36883.5	64862	44554.0	57861	47113.5
2020	57382	42206.0	64448	49628.0	46597	37963.0	64990	45234.0	59171	46930.0
2021	57503	43683.0	65377	49166.5	48535	39469.0	63890	46420.0	60155	47301.5
