"Jahr"	"Mietwohnungen, 1. Quartil"	"Mietwohnungen, Median"	"Mietwohnungen, 3. Quartil"	"Genossenschaftswohnungen, 1. Quartil"	"Genossenschaftswohnungen, Median"	"Genossenschaftswohnungen, 3. Quartil"
2015	14.5	17.4	20.5	11.1	13.2	15.3
2016	14.8	17.5	20.7	11.2	13.6	16.3
2017	14.8	17.6	20.6	11.2	13.8	16.4
2018	15.5	18.3	21.7	12	13.9	16.7
2019	15.7	18.7	22.1	12.2	14.4	17.4
2020	15.7	18.7	22.3	12.3	14.3	16.8
2021	16	18.9	22.4	12.4	14.3	17.5
2022	16	19.1	22.7	12.4	14.8	17.8
2023	16.3	19.7	23.4	12.6	15.2	18.7

