Jahr	Sehr gern	Eher gern	Eher ungern	Ganz ungern	Weiss nicht	Keine Angabe
2003						
2003: Schweiz	733	287	39	18	4	0
2003: Ausland	99	65	17	2	1	0
2003: Total	832	352	56	20	5	0
2005						
2005: Schweiz	688	328	90	12	3	0
2005: Ausland	119	59	11	1	1	0
2005: Total	807	387	101	13	4	0
2007						
2007: Schweiz	721	348	59	11	3	0
2007: Ausland	89	56	15	1	1	0
2007: Total	810	404	74	12	4	0
2011						
2011: Schweiz	689.46055	248.00359	42.30960	9.44269	0	0
2011: Ausland	179.07161	95.08904	13.75465	3.61680	0	0
2011: Total	868.5322	343.0926	56.06425	13.0595	0	0
2015						
2015: Schweiz	684.08205	279.29126	16.48734	5.58787	1.15211	0
2015: Ausland	176.03801	119.51383	7.76250	2.66532	1.18863	0
2015: Total	860.1201	398.8051	24.24984	8.253187	2.340739	0
2019						
2019: Schweiz	948.10816	355.86176	38.74486	11.73914	6.07902	19.42605
2019: Ausland	396.78148	249.53971	30.92061	10.38167	1.58637	15.40891
2019: Total	1358.643	612.3772	70.63539	22.12081	7.665389	36.55822
2023						
2023: Schweiz	903.13196	342.78688	51.55521	18.66007	6.13641	18.19781
2023: Ausland	441.59186	204.67844	55.27794	5.71997	4.29821	1.96525
2023: Total	1344.724	547.4653	106.8331	24.38004	10.43462	20.16306
