	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Familienform						
Einelternfamilie (n=272)	45.2	35.3	9.2	2.6	5.1	2.6
Zweielternfamilie (n=1 372)	47.7	37.9	9.1	2.0	1.5	1.7
*Anzahl Kinder						
1 Kind (n=562)	47.9	37.0	8.9	2.5	2.5	1.2
2 Kinder (n=750)	46.7	38.0	9.5	2.0	1.9	2.0
3 Kinder u.m. (n=353)	47.9	36.5	9.3	2.0	2.0	2.3
*Alter jüngstes Kind						
0-4 Jahre (n=610)	47.0	38.2	9.5	2.6	1.0	1.6
5-8 Jahre (n=364)	48.6	37.9	10.4	1.9	0.8	0.3
9-12 Jahre (n=277)	50.5	33.6	10.8	1.1	2.2	1.8
13-17 Jahre (n=389)	45.0	38.3	5.9	2.6	4.9	3.3
*Bildungsniveau Eltern						
Obligat. Schule (n=105)	44.8	39.0	5.7	3.8	1.9	4.8
Sekundarstufe II (n=553)	46.8	37.4	9.2	2.4	2.2	2.0
Tertiärstufe (n=983)	47.8	37.5	9.8	1.7	2.0	1.1
*Haushaltssprache						
ch/dt (n=870)	48.7	39.1	7.2	1.8	1.7	1.4
ch/dt und andere (n=516)	45.3	37.2	10.9	2.7	1.6	2.3
nur andere (n=246)	46.3	33.7	11.0	2.0	4.9	2.0
*Haushaltseinkommen						
<3 000 Fr. (n=111)	50.5	32.4	7.2	2.7	2.7	4.5
3 000-7 499 Fr. (n=580)	44.3	39.1	9.3	2.6	2.4	2.2
>7 499 Fr. (n=855)	48.2	37.5	9.8	2.0	1.5	0.9
*Wahlkreis						
Grossbasel Ost (n=415)	45.5	36.6	12.3	2.4	2.2	1.0
Grossbasel West (n=585)	51.3	35.6	6.8	0.9	3.1	2.4
Kleinbasel (n=376)	40.2	42.0	10.6	3.7	1.3	2.1
Riehen, Bettingen (n=253)	51.0	36.0	7.9	2.8	1.2	1.2
*Befragungsjahr						
2009 (N=3 119)	33.4	40.2	16.0	5.9	2.2	2.2
2013 (N=2 231)	41.1	41.2	10.7	2.6	2.1	2.2
2017 (N=1 665)	47.3	37.4	9.2	2.2	2.1	1.8
