"jahr_wv"	"Erdgas"	"Heizöl"	"Fernwärme"	"Anderer/Kein Energieträger"
2014: Pestalozzi	32	12	260	32
2014: Lysbüchel	45	35	95	85
2014: Landskron	60	10	342	59
2014: Kannenfeld	25	18	196	18
2014: Friedmatt	139	56	354	116
.				
2015: Pestalozzi	32	12	260	33
2015: Lysbüchel	44	34	96	89
2015: Landskron	55	14	345	62
2015: Kannenfeld	27	17	195	14
2015: Friedmatt	139	60	348	123
..				
2016: Pestalozzi	30	9	263	28
2016: Lysbüchel	49	27	94	85
2016: Landskron	44	14	360	58
2016: Kannenfeld	22	15	201	16
2016: Friedmatt	132	48	366	126
...				
2017: Pestalozzi	30	9	263	28
2017: Lysbüchel	49	25	97	82
2017: Landskron	44	14	360	57
2017: Kannenfeld	23	15	200	16
2017: Friedmatt	132	47	368	123
....				
2018: Pestalozzi	30	9	267	27
2018: Lysbüchel	49	24	98	82
2018: Landskron	45	15	364	49
2018: Kannenfeld	18	14	208	14
2018: Friedmatt	131	46	372	124
.....				
2019: Pestalozzi	29	7	276	21
2019: Lysbüchel	46	17	104	81
2019: Landskron	40	13	381	35
2019: Kannenfeld	15	11	215	11
2019: Friedmatt	126	34	403	110
......				
2020: Pestalozzi	29	7	276	21
2020: Lysbüchel	46	13	101	74
2020: Landskron	40	13	381	33
2020: Kannenfeld	14	11	215	11
2020: Friedmatt	126	33	406	110
.......				
2021: Pestalozzi	27	6	279	21
2021: Lysbüchel	47	12	103	75
2021: Landskron	40	12	383	33
2021: Kannenfeld	13	10	217	11
2021: Friedmatt	126	29	410	111
........				
2022: Pestalozzi	26	5	279	22
2022: Lysbüchel	46	12	110	79
2022: Landskron	39	12	386	32
2022: Kannenfeld	16	11	212	11
2022: Friedmatt	120	24	421	112
.........				
2023: Pestalozzi	26	5	279	22
2023: Lysbüchel	46	12	110	78
2023: Landskron	39	12	385	32
2023: Kannenfeld	13	10	215	12
2023: Friedmatt	115	21	424	116
