"Jahr"	"1 Zimmer Mittelwert"	"2 Zimmer Mittelwert"	"3 Zimmer Mittelwert"	"4 Zimmer Mittelwert"	"5 Zimmer Mittelwert"	"1 Zimmer Q1"	"2 Zimmer Q1"	"3 Zimmer Q1"	"4 Zimmer Q1"	"5 Zimmer Q1"	"1 Zimmer Median"	"2 Zimmer Median"	"3 Zimmer Median"	"4 Zimmer Median"	"5 Zimmer Median"	"1 Zimmer Q3"	"2 Zimmer Q3"	"3 Zimmer Q3"	"4 Zimmer Q3"	"5 Zimmer Q3"
2014	735	1133	1632	2147		560	913	1250	1600		640	1035	1410	1875		720	1217	1870	2490	
2015	798	1263	1714	2245	2865	636	1000	1310	1700	2240	680	1100	1463	2054	2700	760	1380	1800	2520	3360
2016	940	1300	1687	2411	3643	688	955	1400	1930	2940	865	1200	1560	2300	3200	1070	1470	1920	2600	4100
2017	930	1297	1617	2469	3538	690	1060	1290	1960	2900	785	1220	1455	2480	3365	990	1420	1780	2770	3800
2018	935	1346	1589	2183	3039	715	1090	1323	1820	2600	850	1280	1500	2092	3000	1050	1490	1720	2640	3320
2019	1058	1296	1648	2242	2961	720	1060	1350	1784	2290	880	1250	1570	2293	2700	1100	1440	1820	2570	3375
2020	847	1283	1614	2256	2985	675	1060	1300	1820	2150	820	1210	1490	2158	2800	990	1400	1743	2500	3150
2021	956	1266	1595	2178	3448	695	1050	1280	1700	2700	840	1230	1480	1990	3325	975	1410	1760	2495	4000
2022	902	1318	1576	1953	3180	750	1100	1300	1545	2426	855	1260	1473	1760	3015	1020	1455	1700	2240	3950
2023	1020	1302	1538	2023	2899	730	1030	1290	1500	2300	900	1250	1460	1800	2700	1170	1470	1700	2280	3160
2024	1049	1374	1655	2416	3161	750	1105	1350	1830	2612	920	1360	1520	2190	3000	1205	1561	1850	2640	3800
2025	1065	1413	1732	2270	3084	765	1175	1400	1860	2437	971	1370	1650	2165	2810	1270	1600	1900	2690	3900
