	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Familienform						
Einelternfamilie (n=272)	55.5	30.9	9.9	1.1	0.0	2.6
Zweielternfamilie (n=1 372)	55.1	31.3	9.0	2.6	0.4	1.7
*Anzahl Kinder						
1 Kind (n=562)	50.0	36.5	9.3	2.7	0.4	1.2
2 Kinder (n=750)	57.2	28.9	9.1	2.3	0.5	2.0
3 Kinder u.m. (n=353)	58.4	27.5	9.1	2.3	0.3	2.5
*Alter jüngstes Kind						
0-4 Jahre (n=610)	51.3	33.4	10.5	2.5	0.7	1.6
5-8 Jahre (n=364)	55.8	30.5	9.1	2.7	0.3	1.6
9-12 Jahre (n=277)	61.4	27.4	7.2	1.8	0.7	1.4
13-17 Jahre (n=389)	56.6	30.8	8.5	2.3	0.0	1.8
*Bildungsniveau Eltern						
Obligat. Schule (n=105)	40.0	41.0	6.7	2.9	1.9	7.6
Sekundarstufe II (n=553)	52.3	32.7	8.7	2.2	0.9	3.3
Tertiärstufe (n=983)	58.3	29.5	9.5	2.4	0.0	0.3
*Haushaltssprache						
ch/dt (n=870)	58.4	30.6	8.6	1.8	0.0	0.6
ch/dt und andere (n=516)	50.8	33.1	10.5	2.9	0.4	2.3
nur andere (n=246)	51.2	30.1	8.1	3.7	2.0	4.9
*Haushaltseinkommen						
<3 000 Fr. (n=111)	48.6	33.3	9.0	2.7	0.9	5.4
3 000-7 499 Fr. (n=580)	49.1	34.1	10.0	3.1	1.0	2.6
>7 499 Fr. (n=855)	60.1	28.8	9.0	1.9	0.0	0.2
*Wahlkreis						
Grossbasel Ost (n=415)	51.6	32.3	10.6	2.7	0.7	2.2
Grossbasel West (n=585)	59.5	31.1	5.6	1.5	0.3	1.9
Kleinbasel (n=376)	40.4	36.2	15.4	4.8	0.5	2.7
Riehen, Bettingen (n=253)	73.9	20.6	4.7	0.8	0.0	0.0
*Befragungsjahr						
2009 (N=3 119)	47.1	34.1	11.0	3.8	1.0	2.9
2013 (N=2 231)	50.9	32.8	10.0	2.8	0.7	2.8
2017 (N=1 665)	55.0	31.2	9.1	2.4	0.4	1.9
