jahr	Leerwohnungsquote in %	Leerwohnungen	Wohnungen
1999	1.540636450188	1602	103983
2000	1.306536525381	1360	104092
2001	1.409290163808	1466	104024
2002	1.326453295991	1383	104263
2003	1.360831065281	1420	104348
2004	1.438711098765	1502	104399
2005	1.519506399938	1586	104376
2006	1.405933402148	1471	104628
2007	1.401539019686	1468	104742
2008	1.235404752584	1294	104743
2009	0.924635966335	969	104798
2010	0.745160737737	783	105078
2011	0.495886611061	522	105266
2012	0.472750652395	500	105764
2013	0.340820045127	361	105921
2014	0.23033892727871	245	107270
2015	0.336533979677	361	107270
2016	0.416770398237	452	108453
2017	0.500366568914	546	109120
2018	0.711174164916	782	109959
