""	"Verkehr, Lagerei"	"Gastgewerbe"	"Handel, Reparatur"	"Primärer Sektor"	"Freib., wiss., tech. DL"	"Baugewerbe"	"Öff. Verwaltung, Bildung"	"Metallprodukte"	"Maschinen"	"Elektronik/Optik"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	92.62	96.76	105.42	90.69	96.86	97.21	101.30	97.95	102.20	88.87	98.29	100.77	101.85	126.65
"2016"	89.06	94.14	105.62	91.12	99.13	98.58	100.52	98.80	102.49	85.72	101.74	105.61	108.69	155.38
"2017"	88.12	94.48	104.31	87.81	96.31	99.59	101.30	107.48	103.49	85.16	104.98	109.66	108.17	178.38
"2018"	90.47	98.07	99.88	95.70	102.48	103.81	102.45	111.27	107.20	97.22	107.64	111.04	124.10	190.63
"2019"	94.34	103.75	98.97	92.99	104.20	103.73	102.95	112.55	100.25	97.87	110.38	116.66	126.77	202.08
"2020"	74.06	54.92	97.24	93.10	100.30	105.42	106.16	97.69	90.28	85.90	115.55	115.93	126.65	210.55
"2021"	67.20	54.22	92.03	86.06	106.72	109.75	107.13	106.64	109.18	106.65	117.80	121.92	172.46	274.98
"2022"	75.44	87.24	89.46	94.67	98.80	101.92	108.42	111.23	114.70	116.91	119.26	127.93	184.99	307.63

