cities	Beschäftigte Dichte	time
Basel	0.557	2022-12-31
Bern	0.777	2022-12-31
Genf	0.522	2022-12-31
Lausanne	0.664	2022-12-31
Zürich	0.73	2022-12-31
Frankfurt a. M.	0.555	2023-01-01
Freiburg i. Br.	0.52	2023-01-01
Karlsruhe	0.606	2023-01-01
München	0.6	2023-01-01
Stuttgart	0.578	2023-01-01
Lille	0.429	2022-01-01
Lyon	0.473	2022-01-01
Metz	0.439	2022-01-01
Paris	0.471	2022-01-01
Strassburg	0.447	2022-01-01
Mailand	0.454	2022-01-01
Bologna	0.452	2022-01-01
Lissabon	0.528	2023-01-01
Porto	0.493	2023-01-01
Barcelona	0.479	2023-01-01
Madrid	0.544	2023-01-01
