""	"Ehepaare mit Kindern"	"Ehepaare ohne Kind"	"Einelternfamilien"	"Einzelpersonen"	"Konkubinatspaare mit Kindern"	"Konkubinatspaare ohne Kinder"
"2011"	3135	1548	1759	6952	201	31
"2012"	3142	1517	1773	7161	217	43
"2013"	3097	1550	1729	7323	219	44
"2014"	2997	1442	1782	7450	240	48
"2015"	2845	1388	1706	7414	236	47
"2016"	2958	1359	1811	7793	271	45
"2017"	2950	1331	1839	7944	297	53
"2018"	2913	1359	1816	8240	298	73
"2019"	3071	1569	1872	9267	382	88
"2020"	3133	1562	1915	9573	388	86
"2021"	3082	1549	1972	9895	392	81
"2022"	2897	1475	1940	9604	373	75

