Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003						
2003: Schweiz	507	597	102	13	65	0
2003: Ausland	80	93	14	2	15	0
2003: Total	587	690	116	15	80	0
2005						
2005: Schweiz	455	670	102	17	51	0
2005: Ausland	63	111	18	7	10	0
2005: Total	518	781	120	24	61	0
2007						
2007: Schweiz	444	711	105	8	55	0
2007: Ausland	49	97	21	2	7	0
2007: Total	493	808	126	10	62	0
2011						
2011: Schweiz	560.78156	486.04106	74.61023	6.36958	30.74445	1.97161
2011: Ausland	169.87901	142.71842	24.61836	3.57848	8.89443	0
2011: Total	730.6606	628.7595	99.2286	9.948059	39.63887	1.971609
2015						
2015: Schweiz	497.58388	518.14279	64.37673	5.69308	55.69628	
2015: Ausland	115.28820	204.12007	28.88653	0	8.24572	
2015: Total	612.8721	722.2629	93.26326	5.693078	63.94199	
2019						
2019: Schweiz	506.50718	538.47476	92.18878	10.80319	105.82833	61.98074
2019: Ausland	271.61968	268.61352	67.02969	4.91595	52.60648	19.05648
2019: Total	782.7103	818.5273	159.9417	15.71914	160.9941	82.48374
2023						
2023: Schweiz	483.20962	534.91063	92.58270	15.02430	134.49591	34.46627
2023: Ausland	259.41025	288.63766	72.86431	0	56.45408	12.75732
2023: Total	742.6199	823.5483	165.447	15.0243	190.95	47.22359

