""	"Frauenanteil insgesamt"	"Frauenanteil bei den Arbeitnehmenden"	"Frauenanteil bei den Selbstständigerwerbenden"	"Frauenanteil bei den Entsandten"
"2015-1"	0.185	0.395	0.034	0.074
"2015-2"	0.232	0.358	0.054	0.067
"2015-3"	0.313	0.353	0.102	0.187
"2015-4"	0.333	0.432	0.117	0.157
"2016-1"	0.202	0.444	0.035	0.069
"2016-2"	0.280	0.438	0.072	0.082
"2016-3"	0.351	0.417	0.085	0.080
"2016-4"	0.362	0.455	0.139	0.131
"2017-1"	0.249	0.511	0.039	0.072
"2017-2"	0.278	0.411	0.050	0.065
"2017-3"	0.323	0.388	0.105	0.076
"2017-4"	0.354	0.442	0.132	0.133
"2018-1"	0.252	0.488	0.028	0.075
"2018-2"	0.304	0.423	0.062	0.088
"2018-3"	0.331	0.378	0.103	0.067
"2018-4"	0.351	0.437	0.144	0.124
"2019-1"	0.294	0.472	0.041	0.079
"2019-2"	0.300	0.418	0.049	0.083
"2019-3"	0.304	0.359	0.089	0.064
"2019-4"	0.321	0.391	0.113	0.132
"2020-1"	0.283	0.386	0.068	0.086
"2020-2"	0.283	0.353	0.100	0.063
"2020-3"	0.336	0.389	0.125	0.071
"2020-4"	0.295	0.340	0.135	0.060
"2021-1"	0.255	0.307	0.178	0.065
"2021-2"	0.300	0.364	0.085	0.094
"2021-3"	0.277	0.332	0.057	0.050
"2021-4"	0.342	0.389	0.148	0.101
"2022-1"	0.373	0.435	0.153	0.087
"2022-2"	0.352	0.422	0.088	0.065
"2022-3"	0.350	0.388	0.115	0.072
"2022-4"	0.344	0.397	0.125	0.092
"2023-1"	0.370	0.467	0.124	0.048
"2023-2"	0.349	0.420	0.095	0.075
"2023-3"	0.352	0.378	0.204	0.096
"2023-4"	0.349	0.382	0.202	0.146
"2024-1"	0.327	0.379	0.114	0.138
"2024-2"	0.333	0.381	0.122	0.121
"2024-3"	0.351	0.377	0.275	0.105
"2024-4"	0.353	0.392	0.231	0.134

