"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2007"	999	90	54	111	138	29	140	8	14	10	74
"2008"	996	133	46	107	126	31	129	19	17	15	76
"2009"	1046	156	54	84	128	32	144	14	16	20	81
"2010"	1109	172	43	85	156	43	126	23	18	26	109
"2011"	1066	184	56	85	149	34	114	17	25	27	111
"2012"	1110	200	64	70	160	50	107	11	19	35	104
"2013"	1088	211	46	73	178	48	122	22	20	45	109
"2014"	1117	210	58	63	183	46	116	12	16	31	104
"2015"	1211	196	53	69	196	51	106	19	16	39	109
"2016"	1207	229	67	75	198	77	101	13	41	39	125
"2017"	1208	201	75	54	201	61	92	9	32	47	103
"2018"	1188	214	75	47	190	76	91	17	33	45	103
"2019"	1162	197	73	51	228	89	84	16	39	39	89
"2020"	1190	184	82	46	190	76	71	9	24	31	97
"2021"	1182	225	73	40	204	84	71	17	31	41	98
"2022"	1065	181	73	34	140	71	51	14	28	43	91

