	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=506)	49.8	41.1	6.3	0.6	0.4	1.8
Mehrpersonen-HH (n=921)	55.4	39	3.5	0.3	0.3	1.5
*Geschlecht						
Männlich (n=627)	55	39.6	4.3	0.2	0.2	0.8
Weiblich (n=793)	52.1	40	4.5	0.6	0.5	2.3
*Alter						
55-64 Jahre (n=477)	49.5	42.8	5.5	0.6	0.4	1.3
65-74 Jahre (n=475)	54.5	38.5	4.4	0.2	0.2	2.1
>74 Jahre (n=463)	56.6	38	3.2	0.4	0.2	1.5
*Staatsangehörigkeit						
Schweiz (n=1 309)	54.5	39.5	3.7	0.4	0.2	1.7
Ausland (n=107)	43	41.1	14	0.9	0	0.9
*Haushaltseinkommen						
<5 000 Fr. (n=447)	43.8	45.6	7.6	1.1	1.8	0
5 000-7 499 Fr. (n=327)	52.9	42.8	3.4	0	0.9	0
>7 499 Fr. (n=449)	63.5	32.5	2	0.2	1.8	0
*Wahlkreis						
Grossbasel Ost (n=404)	57.2	37.4	3.5	0.7	1.2	0.2
Grossbasel West (n=438)	53.4	39.7	4.6	0.2	2.1	0.7
Kleinbasel (n=288)	45.8	46.5	4.5	0	3.1	0
Riehen, Bettingen (n=252)	57.5	35.3	4.8	0.8	1.6	0
*Befragungsjahr						
2011 (N=1 689)	52.9	39.7	5.2	0.1	2.1	0.1
2015 (N=1 427)	53.4	39.7	4.5	0.4	2	0.4
