""	"Personenbeförderung Schiene"	"Güterbeförderung Schiene"	"Nahverkehr (ohne Taxis)"	"Taxis"	"Sonstige Personenbeförderung"	"Güterbeförderung Strasse"	"Umzugstransporte"
2013	1276.2	528.6	1023.7	427.4	82.8	955.3	101.6
2014	1278.6	530.5	940.2	405.0	85.6	893.9	108.7
2015	1206.6	76.6	980.3	423.4	95.0	854.4	118.2
2016	1173.0	67.2	960.2	404.2	92.6	814.6	127.9
2017	1148.4	65.4	970.8	415.0	94.9	782.9	117.7
2018	1171.0	65.2	977.7	372.6	57.6	763.9	122.8
2019	1184.6	50.5	1049.0	384.8	63.9	815.0	131.7
2020	1180.3	58.2	1044.7	274.1	60.3	830.9	106.4
2021	1251.4	57.2	1081.1	263.1	58.3	862.3	89.6
2022	1277.6	93.6	1065.4	217.0	59.6	814.8	89.2

