"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2004"	20.9	19.6	15.1	26.8	24.0	32.0	25.7	28.3	40.3	24.2	19.6
"2005"	20.0	13.4	19.1	25.7	23.8	31.5	23.6	25.6	41.7	22.0	22.6
"2006"	17.5	16.3	19.4	21.3	23.7	31.2	20.7	27.2	44.1	20.6	25.8
"2007"	15.6	15.6	20.6	21.9	21.0	23.6	19.4	29.6	38.0	22.9	25.9
"2008"	13.5	18.1	18.5	23.6	17.8	19.7	17.7	26.5	26.2	26.6	25.4
"2009"	13.8	16.3	19.9	27.5	14.8	13.1	16.2	27.3	33.9	25.6	24.2
"2010"	12.0	20.6	20.6	27.6	12.6	17.7	15.2	28.1	28.7	35.6	15.3
"2011"	12.2	20.5	20.5	26.9	12.4	17.7	16.7	32.5	33.4	35.8	15.8
"2012"	15.1	19.5	19.1	26.6	16.3	23.7	19.6	21.5	41.0	32.3	16.6
"2013"	14.2	15.9	18.1	27.7	17.0	22.4	18.6	28.9	36.4	37.8	20.2
"2014"	13.2	15.1	15.5	27.1	16.2	19.2	18.1	24.1	32.0	40.3	16.4
"2015"	13.0	17.4	13.6	31.1	17.4	15.2	23.2	22.3	33.5	42.6	18.0
"2016"	11.6	15.9	14.9	31.9	13.2	18.0	21.3	23.5	36.2	45.1	20.2
"2017"	12.0	14.8	14.1	30.4	14.0	18.3	21.7	23.5	34.0	47.1	21.9
"2018"	13.4	16.1	15.4	33.4	14.6	17.1	19.1	26.6	30.7	35.7	21.1
"2019"	11.4	15.5	16.9	31.4	11.0	20.5	16.4	24.7	23.6	32.4	17.3
"2020"	10.6	13.7	15.4	32.4	12.2	17.6	16.7	25.7	23.9	30.4	20.4
"2021"	9.8	13.5	14.2	31.5	11.2	17.1	16.0	27.5	28.0	29.3	19.5
"2022"	10.2	13.5	13.2	31.7	12.6	20.6	20.3	19.2	26.9	31.3	15.7
"2023"	11.1	15.4	12.1	33.4	11.8	21.0	21.5	21.3	25.8	30.7	16.0

