"jahr_id"	"Deutschland"	"Frankreich"	"Italien"	"UK"	"USA"	"Übriges Ausland"
2010	100.000	100.000	100.000	100.000	100.000	100.000
2011	93.492	101.705	101.587	117.864	93.146	117.877
2012	85.004	102.273	125.397	100.616	89.982	123.529
2013	94.107	124.148	164.444	112.115	103.515	135.524
2014	83.026	145.170	179.365	85.216	90.861	114.089
2015	84.213	173.580	181.587	79.671	80.141	117.217
2016	91.469	147.727	188.889	85.216	90.861	119.484
2017	86.016	122.443	166.984	88.501	89.982	110.215
2018	88.434	134.659	154.286	89.938	93.497	109.469
2019	93.448	138.920	135.873	93.429	87.170	114.204

