	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Geschlecht						
Männlich (n=849)	17.4	32	22.7	8.8	14	4.9
Weiblich (n=1 057)	18.2	37.4	20.2	4.4	15.9	4.1
*Haushaltseinkommen						
<3 000 Fr. (n=229)	20.1	29.7	21	9.2	12.7	7.4
3 000-7 499 Fr. (n=772)	19	35.5	21.4	6.2	13.1	4.8
>7 499 Fr. (n=664)	15.8	36.3	22.7	6.3	17	1.8
*Wahlkreis						
Grossbasel Ost (n=520)	17.9	36.5	22.9	4.4	14.4	3.8
Grossbasel West (n=687)	17.5	36	19.4	7	16.9	3.3
Kleinbasel (n=438)	16.9	31.3	24.7	8.2	12.1	6.8
Riehen, Bettingen (n=252)	18.7	36.1	19	6	15.5	4.8
*Haushaltsform						
Single-HH (n=797)	18.3	33.8	19.9	6.3	15.9	5.8
Übrige HH o. K. (n=762)	16.9	36.1	21.4	4.7	17.2	3.7
HH m. Kindern (n=359)	18.7	35.1	24.5	10	8.6	3.1
*Alter						
18-29 Jahre (n=147)	11.6	31.3	24.5	10.9	19.7	2
30-39 Jahre (n=314)	14.3	36.9	27.7	10.5	8	2.5
40-49 Jahre (n=297)	18.9	34	25.3	8.1	11.8	2
50-59 Jahre (n=351)	13.1	35.3	21.9	8	16.2	5.4
60-69 Jahre (n=345)	17.4	38.3	19.4	3.8	16.8	4.3
>69 Jahre (n=433)	25.6	32.6	14.1	1.4	18.7	7.6
*Staatsangehörigkeit						
Schweiz (n=1 487)	17.6	34	21.4	6.3	16.2	4.6
Ausland (n=429)	18.4	38	22.6	6.5	10.3	4.2
*Befragungsjahr						
2003 (N=1 452)	12.8	41.4	23.6	3.4	18.9	0
2005 (N=1 479)	11.7	45.7	25.4	2.8	14.4	0
2007 (N=1 474)	11.5	50.5	18.9	1.6	17.6	0
2011 (N=1 492)	18.8	46.5	22.1	1.9	10.5	0.1
2015 (N=1 386)	11	39.8	28.9	5.8	14.6	0
2019 (N=1 940)	17.9	34.8	21.5	6.3	14.9	4.5
