cities	Beschäftigtendichte	time
Basel	0.543	2021-01-01
Bern	0.765	2021-01-01
Genf	0.515	2021-01-01
Lausanne	0.635	2021-01-01
Zürich	0.703	2021-01-01
Frankfurt a. M.	0.559	2021-01-01
Freiburg i. Br.	0.499	2021-01-01
Karlsruhe	0.586	2021-01-01
München	0.601	2021-01-01
Stuttgart	0.574	2021-01-01
Lille	0.416	2020-01-01
Lyon	0.46	2020-01-01
Metz	0.432	2020-01-01
Paris	0.462	2020-01-01
Strassburg	0.439	2020-01-01
Mailand	0.416	2020-01-01
Bologna	0.398	2020-01-01
Lissabon	0.46	2021-01-01
Porto	0.43	2021-01-01
Barcelona	0.461	2021-01-01
Madrid	0.522	2021-01-01
