""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2016-01"	0.029569	52
"2016-02"	0.029569	53
"2016-03"	0.029569	54
"2016-04"	0.029569	57
"2016-05"	0.029569	53
"2016-06"	0.029569	59
"2016-07"	0.029569	56
"2016-08"	0.029569	47
"2016-09"	0.029569	43
"2016-10"	0.029569	49
"2016-11"	0.029569	53
"2016-12"	0.029569	51
"2017-01"	0.030088	57
"2017-02"	0.030088	55
"2017-03"	0.030088	52
"2017-04"	0.030088	52
"2017-05"	0.030088	59
"2017-06"	0.030088	60
"2017-07"	0.030088	59
"2017-08"	0.030088	59
"2017-09"	0.030088	48
"2017-10"	0.030088	44
"2017-11"	0.030088	48
"2017-12"	0.030088	45
"2018-01"	0.029475	44
"2018-02"	0.029475	43
"2018-03"	0.029475	43
"2018-04"	0.029475	42
"2018-05"	0.029475	48
"2018-06"	0.029475	52
"2018-07"	0.029475	51
"2018-08"	0.029475	58
"2018-09"	0.029475	59
"2018-10"	0.029475	63
"2018-11"	0.029475	60
"2018-12"	0.029475	62
"2019-01"	0.033908	63
"2019-02"	0.033908	62
"2019-03"	0.033908	56
"2019-04"	0.033908	58
"2019-05"	0.033908	62
"2019-06"	0.033908	60
"2019-07"	0.033908	55
"2019-08"	0.033908	62
"2019-09"	0.033908	61
"2019-10"	0.033908	59
"2019-11"	0.033908	61
"2019-12"	0.033908	60
"2020-01"	0.039473	60
"2020-02"	0.039473	62
"2020-03"	0.039473	67
"2020-04"	0.039473	66
"2020-05"	0.039473	73
"2020-06"	0.039473	74
"2020-07"	0.039473	76
"2020-08"	0.039473	79
"2020-09"	0.039473	75
"2020-10"	0.039473	72
"2020-11"	0.039473	69
"2020-12"	0.039473	64
"2021-01"	0.041406	73
"2021-02"	0.041406	78
"2021-03"	0.041406	79
"2021-04"	0.041406	78
"2021-05"	0.041406	81
"2021-06"	0.041406	75
"2021-07"	0.041406	75
"2021-08"	0.041406	71
"2021-09"	0.041406	72
"2021-10"	0.041406	66
"2021-11"	0.041406	65
"2021-12"	0.041406	65
"2022-01"	0.030418	61
"2022-02"	0.030418	54
"2022-03"	0.030418	48
"2022-04"	0.030418	59
"2022-05"	0.030418	57
"2022-06"	0.030418	61
"2022-07"	0.030418	58
"2022-08"	0.030418	54
"2022-09"	0.030418	49
"2022-10"	0.030418	46
"2022-11"	0.030418	50
"2022-12"	0.030418	48
"2023-01"	0.033484	51
"2023-02"	0.033484	52
"2023-03"	0.033484	51
"2023-04"	0.033484	57
"2023-05"	0.033484	52
"2023-06"	0.033484	52
"2023-07"	0.033484	53
"2023-08"	0.033484	57
"2023-09"	0.033484	60
"2023-10"	0.033484	67
"2023-11"	0.033484	72
"2023-12"	0.033484	86
"2024-01"	0.059799	96
"2024-02"	0.059799	94
"2024-03"	0.059799	92
"2024-04"	0.059799	88
"2024-05"	0.059799	89
"2024-06"	0.059799	95
"2024-07"	0.059799	101
"2024-08"	0.059799	116
"2024-09"	0.059799	122
"2024-10"	0.059799	118
"2024-11"	0.059799	127
"2024-12"	0.059799	130
"2025-01"	0.079606	136
"2025-02"	0.079606	145
"2025-03"	0.079606	143
"2025-04"	0.079606	138
"2025-05"	0.079606	140
"2025-06"	0.079606	139
"2025-07"	0.079606	139
"2025-08"	0.079606	148
"2025-09"	0.079606	146
"2025-10"	0.079606	138
"2025-11"	0.079606	135
"2025-12"	0.079606	141

