	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	47.3	44.9	5.2	0.6	0	2
Mehrpersonen-HH (n=871)	58.9	36.3	3.3	0.1	0.3	1
*Geschlecht						
Männlich (n=637)	51.5	41.8	4.9	0.5	0.3	1.1
Weiblich (n=760)	56.3	38.6	3.2	0.1	0.1	1.7
*Alter						
55-64 Jahre (n=518)	52.1	42.1	4.4	0.4	0.2	0.8
65-74 Jahre (n=434)	53.9	39.6	4.1	0.5	0.2	1.6
>74 Jahre (n=441)	56.7	37.9	3.2	0	0.2	2
*Staatsangehörigkeit						
Schweiz (n=1 280)	55.2	39.1	3.9	0.2	0.2	1.4
Ausland (n=120)	42.5	48.3	5.8	1.7	0	1.7
*Haushaltseinkommen						
<5 000 Fr. (n=428)	41.4	49.8	6.8	0.2	0.2	1.6
5 000-7 499 Fr. (n=325)	52.3	44.6	2.8	0	0	0.3
>7 499 Fr. (n=440)	64.5	31.8	2.3	0	0.5	0.9
*Wahlkreis						
Grossbasel Ost (n=357)	53.8	42.9	2.5	0	0	0.8
Grossbasel West (n=474)	49.6	42.6	5.3	0.2	0.6	1.7
Kleinbasel (n=306)	53.9	38.2	5.6	1	0	1.3
Riehen, Bettingen (n=240)	61.7	34.6	2.5	0	0	1.3
*Befragungsjahr						
2011 (N=1 689)	52.9	39.7	5.2	0.1	0.1	2
2015 (N=1 427)	53.4	39.7	4.5	0.4	0.4	1.6
2019 (N=1 410)	54.2	39.8	4	0.3	0.2	1.5

