"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Übrige Länder"
"1999"	23.3	27.2	18.5	26.0	20.3	28.3	21.0	17.6
"2000"	24.3	29.6	20.6	25.8	19.9	30.7	24.0	17.6
"2001"	26.1	22.7	19.4	26.5	17.4	34.4	25.5	16.7
"2002"	23.7	19.7	17.6	27.8	20.7	44.8	25.8	15.3
"2003"	22.2	19.7	14.8	29.9	23.8	39.5	26.2	14.7
"2004"	20.9	19.6	15.1	26.8	24.0	43.6	24.5	12.1
"2005"	20.0	13.4	19.1	25.7	23.8	35.9	22.4	16.8
"2006"	17.5	16.3	19.4	21.3	23.7	32.8	20.4	20.5
"2007"	15.6	15.6	20.6	21.9	21.0	31.5	17.0	19.5
"2008"	13.5	18.1	18.5	23.6	17.8	29.5	17.0	18.4
"2009"	13.8	16.3	19.9	27.5	14.8	21.5	15.6	18.6
"2010"	12.0	20.6	20.6	27.6	12.6	20.5	14.9	13.3
"2011"	12.2	20.5	20.5	26.9	12.4	17.7	16.7	12.6
"2012"	15.1	19.5	19.1	26.6	16.3	24.6	19.4	14.0
"2013"	14.2	15.9	18.1	27.7	17.0	28.2	18.8	16.4
"2014"	13.2	15.1	15.5	27.1	16.2	21.6	18.6	14.9
"2015"	13.0	17.4	13.6	31.1	17.4	17.6	22.4	12.5
"2016"	11.6	15.9	14.9	31.9	13.2	19.4	20.5	12.7
"2017"	12.0	14.8	14.1	30.4	14.0	18.8	20.8	16.0
"2018"	13.4	16.1	15.4	33.4	14.6	18.4	17.9	14.7

