"Jahr"	"Elektrizität"	"Gas"	"Heizöl"	"Brennholz"	"Fernwärme"	"Category"
1983	62.6	59.4	72.7			0
1984	65.2	59.6	75.9			1
1985	66.9	60.1	80.3			2
1986	68.1	59.8	48.5			3
1987	68.6	57	41			4
1988	68.9	55.2	36.2			5
1989	69.5	54.8	44.7			6
1990	70.7	55.8	50.6			7
1991	73.6	58.8	51.7			8
1992	77.2	59.9	46.8			9
1993	80.1	59.1	45.7			10
1994	81.7	57.1	39.7		66.8	11
1995	89.2	59.6	38.7		71	12
1996	90.1	58.7	46.4		70.5	13
1997	90	59.6	49.8		71.8	14
1998	89.7	59.8	39.2		70.7	15
1999	90.3	58.2	44.1		69.6	16
2000	89.9	65.1	73.3		69.7	17
2001	89.8	77.4	67.9	85.3	83.3	18
2002	89.1	71.8	59.3	84.8	82.2	19
2003	87.5	70.8	63.8	87.6	81.5	20
2004	86.1	71.1	73.1	88.5	79.9	21
2005	83.5	77.5	101.7	89.7	84.4	22
2006	83.3	90.5	114.6	96.6	92.4	23
2007	81.9	94.9	116.9	109.1	97.5	24
2008	83.4	107.3	158.6	102.8	104.2	25
2009	87.7	99.7	100	108.8	106.9	26
2010	92.1	94.9	123.9	112.2	98.2	27
2011	95.6	100.9	140.9	110.5	101.9	28
2012	92.5	106.8	148.7	104.9	103.9	29
2013	91.4	106.6	143.6	112.4	104.7	30
2014	92.4	108.7	141.6	113.1	107.3	31
2015	95.7	101.5	106.9	106.2	104	32
2016	96.2	98.6	101.1	101.7	101.3	33
2017	96.2	97.3	113.8	102	101.4	34
2018	99.1	104	137.3	102.2	103	35
2019	100.5	108.9	130.4	102.4	106.9	36
2020	100	102.3	99.9	102.7	103.8	37
2021	101.3	100.8	122.3	102.8	105.7	38
2022	103.8	152.7	199	127.7	118.6	39
2023	130.3	181.3	165.4	137.8	135.8	40
