Jahr	Mittelwert	Median	Mittelwert oberstes Quintil	Mittelwert unterstes Quintil
1991	56648.4932813177	45700	133214.845271586	10363.3323251091
1992	59623.1272605078	48400	139274.621329212	11072.2381730642
1993	60493.2589766168	49000	141359.502885042	11395.5986539143
1994	60044.8059609381	48900	139609.111070879	11184.1756646402
1995	60220.8450350378	48800	140864.734040174	11172.6976328718
1996	59155.1127938996	47700	140905.568271855	9584.03390872754
1997	58517.388868136	47300	139716.82807641	9165.49834254144
1998	59512.1473340158	47200	145144.370117626	8862.7875809694
1999	59758.9720704639	47200	146431.542959964	8634.92213520569
2000	60053.3743155933	47300	148581.761681198	8004.72605790646
2001	62239.5544149463	49000	153127.965621442	8695.95327348369
2002	62656.4005097267	49500	151945.140164847	9904.65030073513
2003	62273.9018562208	49270	151812.907812152	8957.40937416541
2004	61575.9213739843	48884	150495.348891377	8116.6315058676
2005	62274.2769497837	48536	155470.231336571	7465.38060339014
2006	62984.1035720096	48563	158852.292220114	7545.59643890094
2007	65318.1522964765	49530	166811.78987744	7955.24549539327
2008	64909.7859754611	47442	171656.634631878	7110.53360718639
2009	65107.263705529	47980	171316.65971223	6974.99950774188
2010	65751.3335933138	48072	173953.513205708	6868.16755295577
2011	64817.9232865561	48350	168643.771544859	6900.97664130242
2012	65189.1034878726	48409	170297.283285126	6799.30217686479
2013	66943.4710825291	48816	177712.228950353	6764.54672367158
2014	68538.4845758132	49044	184561.531913051	6709.11604745821
2015	68247.7562229156	49142	183184.562749177	6536.39619534602
2016	69822.5405989183	49334.5	190403.879098095	6419.44166054689
2017	69373.3543753511	49558	187432.221583791	6338.70187113781
2018	69761.1105889832	49680	188676.830333749	6341.3879987973
2019	72418.0199849814	49883	200735.702406349	6352.04232443041
